epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,45.46835479736328,43.29790567096911,0.11294363966928689,0.05294181680605357,0.004560259485293408,0.20296380812751358,0.10055981434310378,0.009079115846430057,0.028751038145673487,0.05681523865354462,0.1363817342122396,0.14220508263842574,0.07353862755734658,0.10787185509788616,400,240,0
5,val,16.05579565167427,23.016098674974945,0.9722759228897128,0.4748677040084165,0.7254257064105383,0.9859431042134983,0.6439461691619042,0.8408657686220127,0.6001467052094773,0.7241897777695558,0.9726727040608724,0.6365667745234638,0.6766154700830731,0.6565911223032684,400,240,0
10,val,13.596393331885338,23.576947839636553,0.967016751368531,0.46249080766155815,0.5031674391064588,0.9832318415140485,0.6324700370610266,0.6694762353361793,0.48282912338400846,0.6442249993788494,0.9671979268391927,0.6336357235923034,0.6336538823560895,0.6336448029741965,400,240,0
15,val,13.158875209093093,21.726227132897627,0.9751322759527223,0.49948394498732,0.8161835948279856,0.9874095905625954,0.6662077932305488,0.8987897447727887,0.6578337699076529,0.7635999385893427,0.9758136240641276,0.6791084576370661,0.6551559162447183,0.6671321869408922,400,240,0
20,val,10.0816585958004,21.474073460227565,0.974606100120188,0.5055690471104809,0.798825589057547,0.9871397642910825,0.6715986199115602,0.8881634705631168,0.6521973180840139,0.7596669120960721,0.9752599334716797,0.671364130294687,0.6756010834404758,0.6734826068675814,400,240,0
25,val,11.717275044322013,22.60386421805934,0.9720051818822198,0.4831608743894336,0.7303644191035664,0.9858038820714153,0.6515286139655408,0.8441741069571222,0.6067626467465,0.7285101584584067,0.9726295216878256,0.6597724620332014,0.5688890580597322,0.6143307600464668,400,240,0
30,val,13.212645688348887,20.596729956175153,0.976263337354518,0.5045083766075074,0.7670095484973011,0.987989119568824,0.6706621039161185,0.8681442034646397,0.6357589625524043,0.7492604208197755,0.9765654754638672,0.6978613814741305,0.6771277855413514,0.687494583507741,400,400,180
35,val,12.306144864218576,23.255357491342647,0.9712612340290706,0.5081609363463345,0.31790120245776626,0.9854211276137206,0.6738815786827147,0.4824355602148466,0.41303106940205037,0.5991077909443905,0.9715225474039714,0.7099978888871519,0.5157615178662639,0.6128797033767079,400,400,180
40,val,11.710323129381452,19.196442930321943,0.9772314304481712,0.5442866728655371,0.8342378426609826,0.9884846208687529,0.7049036716163241,0.9096288641070989,0.6892622577632599,0.7852519819915637,0.9777893320719401,0.7261092042904774,0.6870086390062738,0.7065589216483756,400,400,180
45,val,10.752253672541404,19.749421144786634,0.9768769345381413,0.5489904600750385,0.8149548455732447,0.9883032347346088,0.7088364637809886,0.8980442103680493,0.6819726528241417,0.7802740800621416,0.9775037892659505,0.7273503820301997,0.703250008852407,0.7153001954413034,400,400,180
50,val,10.588220292694714,19.66363058592144,0.9768217395240161,0.5625713013999529,0.7417806316743537,0.9882749870600043,0.7200584074415407,0.8517497762749704,0.6521759665371534,0.7603912241994409,0.9774129486083984,0.7433088594340364,0.6177388508576402,0.6805238551458384,400,400,180
55,val,9.69680898043574,19.41179667021099,0.9778450408828333,0.5727328622465004,0.8469874536867715,0.9887984353378475,0.7283282189810742,0.9171556114212903,0.7098601579666359,0.799188452272035,0.9785649871826172,0.7483759306293103,0.7195030487273055,0.7339394896783079,400,400,180
60,val,11.012344330754773,18.86390179081967,0.9777706075371151,0.5741224140162665,0.8280776799707757,0.9887603787930862,0.7294507833751406,0.9059545872077095,0.7011000469935211,0.7933235671747191,0.9784369913736979,0.749236848997687,0.6953262287177628,0.722281538857725,360,400,400
65,val,10.179213892180345,19.034937984065007,0.978283210698466,0.5731313219473205,0.8071425747271864,0.9890224063045723,0.7286503217517311,0.8932804594557637,0.6901369483372535,0.7861857024576576,0.9788389587402344,0.7554514535699265,0.6908956322184934,0.7231735428942099,360,400,400
70,val,9.39770567170505,19.397317033064994,0.9785193934162649,0.5765152847726263,0.8194095747553898,0.9891430902041122,0.7313792518742049,0.9007422914827248,0.697962429764008,0.7914814176480937,0.979190444946289,0.7606915713074693,0.6893037867127371,0.7249976790101031,360,400,400
75,val,8.759652508538345,19.669178034129896,0.978197979764288,0.5824934959965649,0.7878402886210006,0.9889788481948051,0.7361717409520769,0.8813318433814674,0.6851668923087828,0.7828439214606178,0.9788554382324218,0.7645298016593696,0.679862411447598,0.7221961065534838,360,400,400
80,val,8.34187263949164,19.89738496981169,0.9782792054211163,0.5778010210011026,0.8264092894005558,0.9890203594521129,0.7324130398071264,0.9049551972786898,0.7021051552008293,0.7941631719409249,0.9789554850260417,0.7596479774587692,0.6808866130966387,0.720267295277704,360,400,400
85,val,8.068345501505096,20.42932741265548,0.9783685203432673,0.5780589286832726,0.8052601600831393,0.9890660008818886,0.732620205971146,0.892126440153705,0.6916595443832059,0.7872292030365596,0.9789971923828125,0.7599775642348007,0.657934865843325,0.7089562150390628,360,400,400
90,val,7.902848673688954,20.385217967786286,0.97853800906912,0.5776466357383707,0.8042863291924844,0.9891526011466529,0.7322889963480578,0.891528485451027,0.6909664824654276,0.7868236579999918,0.9791214497884114,0.7586853288974845,0.6570667499736164,0.7078760394355504,360,400,400
91,val,7.899082835789384,20.471806852441084,0.9783987193848659,0.576379701011649,0.8093321592250886,0.9890814321686123,0.7312701383324774,0.8946197690662991,0.6928559301183688,0.7880368598738677,0.9790392303466797,0.758848215903248,0.659168080390026,0.709008148146637,360,400,400
92,val,7.839352823948038,20.322913295344303,0.978415279840162,0.5778196641204483,0.8090986990417997,0.9890898941290113,0.7324280172950595,0.894477122193879,0.693459181581124,0.7884445476674701,0.9790665944417317,0.7597420795726059,0.6610717939103582,0.710406936741482,360,400,400
93,val,7.866161139258023,20.34984320088437,0.9785432648080283,0.5793425830092827,0.8097329557272916,0.9891552863292815,0.7336503039200045,0.8948645745381565,0.6945377693682872,0.7892062678482009,0.9791912587483724,0.7611939758177522,0.6638581986771689,0.7125260872474606,360,400,400
94,val,7.869786446670006,20.46962160813181,0.9784485572561338,0.5778899724062033,0.8091106247274095,0.9891068975916385,0.7324844983011711,0.894484409818027,0.6935002985668064,0.7884830514632489,0.9791015625,0.7596453305962771,0.6641784158142711,0.711911873205274,360,400,400
95,val,7.843987225664073,20.494021465903835,0.9784980734133896,0.5770950831724813,0.8086365993365087,0.9891321973594271,0.7318456437155304,0.8941946653442199,0.692865841254495,0.7880765853074599,0.9791430918375651,0.7593198322364328,0.6613359753216105,0.7103279037790217,360,400,400
96,val,7.86733453767053,20.49788710945531,0.9784711109802876,0.5777738339821327,0.808624958930675,0.9891184213404838,0.7323911976964318,0.8941875483226368,0.6931993964564038,0.788289967964365,0.979118881225586,0.759667680390876,0.6606130738912653,0.7101403771410706,360,400,400
97,val,7.8307228926954595,20.469960438577754,0.9784805733618543,0.5777562334561206,0.8084157463655453,0.9891232560340082,0.7323770569938156,0.8940596187466902,0.6930859899108329,0.78821751772784,0.9791276550292969,0.7595775109331168,0.6601677065941965,0.7098726087636567,360,400,400
98,val,7.8588608971957505,20.5265346577293,0.9785360726710125,0.5777247819675536,0.8086048002564411,0.9891516118278241,0.7323517872959857,0.8941752229583704,0.6931647911119974,0.788288551631669,0.9791804504394531,0.7601534488903005,0.6610653812845829,0.7106094150874417,360,400,400
