file,IoU_crack,Dice_crack,BF1_crack,clDice_crack,ConnR_crack,IoU_spalling,Dice_spalling,BF1_spalling,clDice_spalling,ConnR_spalling
test_720,0.25235849056603776,0.4030131826741996,0.8023509942464954,0.7335370379646537,0.9310344827586207,nan,nan,nan,nan,nan
test_721,0.0,0.0,nan,nan,nan,0.8658637188582742,0.9281103545848439,0.45409001458853504,0.7652548456568556,1.0
test_722,0.21840354767184036,0.35850773430391264,0.4488880874519341,0.6452950216218148,0.8448275862068966,nan,nan,nan,nan,nan
test_723,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_724,0.18371064272703616,0.31039788964607606,0.6389806558025358,0.5808139444883048,0.5384615384615384,nan,nan,nan,nan,nan
test_725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
test_726,0.14695268644747395,0.256248907533648,0.6662334890401242,0.5297300113761692,0.9125,nan,nan,nan,nan,nan
test_727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_728,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_729,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_730,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_731,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_732,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_733,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_734,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
test_735,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_736,0.0,0.0,nan,nan,nan,0.5920490222037296,0.7437572762479507,0.3055815178755084,0.7178002894356005,1.0
test_737,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_738,0.0,0.0,nan,nan,nan,0.5640660903818798,0.7212816566391493,0.3883485202900069,0.6624352643622786,1.0
test_739,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_740,0.22994402985074627,0.3739097459233978,0.36814611507473244,0.7010710808179164,1.0,nan,nan,nan,nan,nan
test_741,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_742,0.18091854859172798,0.3064030941125913,0.5467419189327861,0.64982941405445,0.8545454545454545,nan,nan,nan,nan,nan
