epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.9809907567501068,0.9594627367822748,1.0165636650721233,0.9454178482294082,0.0,0.0,0.0,0.0,0.7435183318677967,0.0516656078773922,0.018271958687901584,0.8528941947760081,0.09825482071562733,0.03588817021229965,0.034968783282646895,0.2711519661443635,0.7411938985188802,0.08533801794302151,0.03533100764508106,0.06033451279405129,400,400,400
5,val,0.31159478589892387,0.28828512838012293,0.16973394758999347,0.4534556243817012,0.0,0.0,0.0,0.0,0.9668452477482048,0.508603484422635,0.6742543218987385,0.9831431820628729,0.6742705948571837,0.8054383531578166,0.5914289031606867,0.7165676846898594,0.9677182006835937,0.6220731394318768,0.3757127918575856,0.4988929656447312,400,400,400
10,val,0.21928090679148832,0.2557742470189145,0.13522408556193113,0.3033377283811569,0.0,0.0,0.0,0.0,0.9715214558937436,0.5225314824548443,0.7732090468522294,0.9855550422638711,0.6863982629933456,0.872101400818834,0.6478702646535368,0.7557539950669391,0.9722620391845703,0.6586494917822295,0.5817308479571945,0.6201901698697121,400,400,400
15,val,0.22141755645473798,0.2311305168427919,0.14326201198001703,0.2995731010039647,0.0,0.0,0.0,0.0,0.9705608006858183,0.5287158287022515,0.7527791998508143,0.985060496837278,0.6917123755447548,0.8589549669631933,0.6407475142765329,0.7506852764129613,0.9712832132975261,0.6476990345445511,0.5711253771814381,0.6094122058629946,400,400,400
20,val,0.1796211941540241,0.24889827617689184,0.11195581781367461,0.24728656967480978,0.0,0.0,0.0,0.0,0.973608693666526,0.5454385711968569,0.7581594557636825,0.9866278931491507,0.7058689764348832,0.8624467516620837,0.6517990134802697,0.7590689068756884,0.9741472371419271,0.705399889377357,0.5410208823069511,0.623210385842154,400,400,400
25,val,0.17515956588089465,0.234342087256281,0.1094509904521207,0.2408681418498357,0.0,0.0,0.0,0.0,0.9743068257161611,0.5434353242620126,0.7897099893381145,0.9869862303319957,0.704189305142221,0.8825005101862025,0.6665726568000636,0.7691507131054293,0.9747800699869792,0.7036917107368238,0.6166671210089694,0.6601794158728966,400,400,400
30,val,0.16356597264607747,0.23917167045568166,0.10230137683451175,0.2248305684328079,0.0,0.0,0.0,0.0,0.9752477965351821,0.5490046125547878,0.8022074365185703,0.9874688109976701,0.7088482604958927,0.8902498350225893,0.6756060245366791,0.7754866152028468,0.9757799275716146,0.725633538160987,0.6401717568587151,0.682902647509851,400,400,400
35,val,0.15462056487798692,0.3259928630370843,0.09647879276424647,0.2127623365322749,0.0,0.0,0.0,0.0,0.9725291532263484,0.5371860368526338,0.6782045351303819,0.9860732873181016,0.6989213068218008,0.8082501517941509,0.6076952859915079,0.729306575069788,0.9733601379394531,0.694917567000859,0.6179518287081425,0.6564346978545008,400,400,400
40,val,0.15740247783561548,0.24473777256513896,0.10250974986081322,0.21229520599047344,0.0,0.0,0.0,0.0,0.9754834706592557,0.5578267616591782,0.7697324119653011,0.9875896054283042,0.7161601987952235,0.8698856468481667,0.6637795868122396,0.7676808814279118,0.975918197631836,0.7300818148356722,0.6036494592976439,0.6668656370666581,400,400,400
45,val,0.1382667427758376,0.2387390038684795,0.08759284056723118,0.18894064525763193,0.0,0.0,0.0,0.0,0.9736365666453418,0.54281020383254,0.810135892944936,0.9866422046489192,0.7036642647088142,0.8951105782747774,0.676473048388738,0.7755275544742726,0.9741744995117188,0.7136186344177006,0.6595479782221321,0.6865833063199163,400,400,400
