epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
1,val,0.9937058925628662,0.9945901616623527,0.5787391342434869,0.03284332158029568,0.009609553356428937,0.733166261214918,0.06359787761428123,0.01903617754899832,0.021226437468362308,0.20706400306007053,0.5754434458414713,0.05239052888983308,0.02473375401868737,0.03856214145426023
5,val,0.48265557646751406,0.48233111908561305,0.9607134211422828,0.35152927837134196,0.7452172528428509,0.9799631203448235,0.5201948400184888,0.8540108707141625,0.5483732656070964,0.6858199841188252,0.9611577860514323,0.3302109541261491,0.28420516739204854,0.3072080607590988
10,val,0.20382383838295937,0.4109507085461366,0.9704559229808342,0.38557251990518665,0.7724510274503282,0.9850064765851384,0.5565533587972299,0.8716190354342251,0.5790117736777575,0.709493156778783,0.9710238393147786,0.49298141141335694,0.4581371016986375,0.47555925655599723
15,val,0.1404070419818163,0.35621077724193273,0.9710954484621539,0.4412344612611259,0.7805354017341939,0.9853357930685714,0.6123007367934177,0.8767423562305734,0.6108849314976599,0.7309551038191578,0.9716133880615234,0.5601674987454178,0.5489253686111402,0.554546433678279
20,val,0.10699634771794081,0.4236377207072158,0.9728766704875162,0.4188768444620299,0.7778870400841211,0.9862518879572024,0.5904343933681544,0.8750691383039895,0.5983819422730755,0.7232135183445557,0.9731212361653646,0.5772157502725102,0.5714892898597455,0.5743525200661278
25,val,0.09706585612148047,0.37187259095279795,0.9727062535375675,0.4674779742944322,0.7725172463624816,0.9861643129008753,0.6371175342774014,0.8716611902624061,0.6199976103284569,0.737567158064827,0.9730519104003906,0.6191045018657424,0.5678930523117451,0.5934987770887438
30,val,0.0974723919853568,0.4321263440345463,0.9716570027776621,0.44333328044874337,0.6513831901494205,0.9856247830213833,0.6143186559252727,0.7888940544326142,0.5473582352990819,0.688791157791942,0.9719344838460287,0.6023761503138336,0.5413687337556681,0.5718724420347508
35,val,0.14129134085029363,0.28343717185290235,0.973167078193164,0.5138519218635046,0.7657266317512648,0.9864010898502285,0.6788668223652534,0.8673218356476956,0.6397892768073847,0.7509152106026443,0.9736861419677735,0.6749826116186655,0.6204713777352323,0.6477269946769488
40,val,0.12847000803798436,0.2700518602995496,0.9738866567763993,0.5167990727600486,0.7981198303203922,0.9867705964099038,0.6814337930991129,0.88772707676349,0.6574594515402203,0.7629351866189467,0.9745025380452474,0.674517086747228,0.6109029119887585,0.6427099993679932
45,val,0.12330367185175418,0.27648190761867325,0.9727910215032392,0.5183297204418829,0.7868880471073413,0.9862078759482451,0.6827630566186008,0.8807356995657061,0.652608883774612,0.7593362630174877,0.9734899139404297,0.6788517935732793,0.57888771740249,0.6288697554878846
50,val,0.11529471449553967,0.29194064085420807,0.9734448981220407,0.5290931013382066,0.7729354603961076,0.9865437834604709,0.6920351689183132,0.8719273517417482,0.6510142808671571,0.7584911532854516,0.9741561381022136,0.6949743950715674,0.5719128260972582,0.6334436105844128
55,val,0.110172532312572,0.2803023781039213,0.9751533628233738,0.5275845953128352,0.8154817476444145,0.9874204010461702,0.690743539744574,0.8983640278427487,0.6715331714786248,0.7727399019268745,0.9758420562744141,0.698564295366695,0.6115091856576388,0.6550367405121669
60,val,0.10017863320186735,0.27666299809750755,0.973236539252316,0.5254131626630799,0.824932193442987,0.9864367701411889,0.6888798071544222,0.9040688705114444,0.6751726780530334,0.7745272984527943,0.9740758514404297,0.6895006487090135,0.622884510516022,0.6561925796125178
65,val,0.16223094855745634,0.23417737903563599,0.9757868368068797,0.565557250316138,0.7886692629877287,0.9877450528862457,0.722499608624256,0.8818502998931887,0.6771132566519333,0.7766711167035821,0.9763409169514974,0.7383525637368539,0.5750886845222671,0.6567206241295604
70,val,0.15584033134082953,0.23167334144052706,0.9749912806200972,0.5676931006224891,0.7765076802400408,0.9873373013717556,0.7242400957139804,0.8741956917800878,0.672100390431265,0.7730640204942091,0.9756461079915365,0.7394361800590762,0.6011884857713197,0.6703123329151979
75,val,0.15079174852619567,0.2505946445621942,0.9761156644785172,0.5698770349925272,0.7900570493888137,0.987913493146776,0.7260148690502245,0.8827171733532917,0.6799670421906705,0.7786832496199526,0.9766732533772786,0.743630431789456,0.6282412763746617,0.6859358540820588
80,val,0.14582627857724825,0.24723622457761513,0.9745050629440553,0.5616490851367617,0.7772688618306001,0.9870879353340676,0.7193025507232634,0.8746778594095296,0.6694589734836809,0.7711410033038056,0.975135498046875,0.73066571115026,0.6208254497639951,0.6757455804571275
85,val,0.14190751976023117,0.24847744797405444,0.9758279248763553,0.5682033937311728,0.7928804704102226,0.9877661031007255,0.7246552277626002,0.8844766658970928,0.6805419320706977,0.7789705963392501,0.9763638051350911,0.7441618563755017,0.6324528941972705,0.6883073752863861
90,val,0.1421743938451012,0.2493932845168992,0.9755265177660757,0.5677226938757624,0.7897180077533109,0.9876116660475918,0.7242641777063575,0.8825055168827056,0.6787203508145366,0.7776557397983831,0.9760936482747395,0.7426223066582565,0.6022196056539313,0.6724209561560939
91,val,0.14156240941335757,0.2503078803420067,0.9757900438322615,0.5684349512242366,0.7907197699201397,0.9877466959390175,0.72484351458828,0.8831306642193415,0.6795773605721882,0.7783149216588793,0.9763628896077474,0.7440281798673645,0.6080061666786782,0.6760171732730214
92,val,0.13970779626319807,0.25020023317713486,0.9757412070150362,0.5689360851495889,0.793202220706035,0.9877216748333076,0.7252508123622439,0.8846768217738751,0.6810691529278119,0.7792931709568865,0.9762982940673828,0.743017971515137,0.6240101511460249,0.683514061330581
93,val,0.1388193508113424,0.2509274841531327,0.9752876363394145,0.565782196620545,0.793320779752186,0.9874892328560401,0.7226831392535724,0.8847505574120573,0.6795514881863655,0.7781302042373818,0.9758711751302084,0.739221617240902,0.6225040795194267,0.6808628483801643
94,val,0.14154704317450523,0.2500394957238122,0.9754728793699143,0.5668448052544084,0.7899726807192107,0.9875841774968287,0.7235493947498775,0.8826645112838256,0.6784087429868095,0.7774301217811779,0.9760567220052083,0.7406925119540634,0.6021962448098077,0.6714443783819355
