epoch,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc
1,0.6636500664149658,0.5929718100010081,0.8504635829140844,0.3164682784783308,0.08090646294537486,0.9191897541423497,0.480783750967593,0.14970113644230024,0.19868737071185283,0.41594610811259664,0.852055333248645
2,0.5367839902262145,0.49298430630501283,0.9503299689091916,0.3895880297359801,0.23739730631834846,0.9745324986629885,0.5607245045281533,0.3837042558702203,0.3134926680271643,0.5257717683211734,0.9504189955962059
3,0.47664507506768916,0.540409211782699,0.8690154553359956,0.35259139209921403,0.09652394714740016,0.9299178911067607,0.5213568475428403,0.1760544261682685,0.2245576696233071,0.4393769315275366,0.8697921959688347
4,0.4773590285566789,0.443684403566604,0.9586307219319359,0.4245203146033854,0.2903379048920559,0.9788784697366236,0.5960186179887231,0.450018408032963,0.3574291097477207,0.5578296471424591,0.9590246019647697
5,0.45557663033280194,0.5787006039568718,0.8455967338528877,0.39333108881155554,0.07078082546241884,0.9163396513902696,0.5645909891338864,0.132204133244265,0.23205595713698718,0.4365695493756207,0.8456994463499322
6,0.4620421804204772,0.44318458881783995,0.9544797471091597,0.43432813241621965,0.29579235099870566,0.9767097853236041,0.6056189272179519,0.4565428261260065,0.36506024170746265,0.561533410174695,0.9543483761009485
7,0.43760067790369445,0.4187450523072101,0.9400263091779334,0.42107758304443144,0.23253183654267312,0.9690861456165097,0.5926173040353505,0.37732386239196725,0.32680470979355225,0.531211909588346,0.9404147611788618
8,0.4349033228958709,0.38109637955401804,0.9547900056234875,0.4295444172786275,0.41985429490837023,0.9768721989336687,0.6009528799340644,0.5914047609166339,0.42469935609349885,0.6013962392701617,0.9555977938685637
9,0.4132402563774133,0.3662975893375721,0.9688287807313282,0.47656514353486434,0.5031017130703491,0.9841676332783529,0.6455050704962165,0.6694180556053996,0.48983342830260673,0.6494985457788472,0.9693021415565718
10,0.41638562253004385,0.36046422479000495,0.9623119335567887,0.4624792836501042,0.4808726833237679,0.9807940492035332,0.6324592612291001,0.649445004609668,0.47167598348693607,0.6352213001768869,0.9630047425474255
11,0.40501213205766073,0.36658767943686627,0.961400745666573,0.47829077536644743,0.4032994118339621,0.9803205671157684,0.6470861935100499,0.5747874023646785,0.44079509360020475,0.6143303109556608,0.9618507579607046
12,0.37270558993273145,0.3571287047989825,0.9576931774307608,0.47599887953687525,0.36260792590352303,0.9783894519034071,0.6449854212439912,0.5322263565479903,0.41930340272019917,0.5987666609570531,0.9581784859840786
13,0.3904115484107899,0.3672961912890698,0.9496836346707112,0.42449306419217786,0.3882961314394187,0.974192548763027,0.5959917599639638,0.559385166674525,0.4063945978157983,0.5874909434341026,0.950829945799458
14,0.38369386086735546,0.3405654256014114,0.9648185424510197,0.46810757227441124,0.5153468296915352,0.9820942968580229,0.6377020064670232,0.6801701360954304,0.49172720098297323,0.6494243148056554,0.9655837144308943
15,0.3662978384313704,0.4313401782766302,0.92039122010146,0.44892066594320307,0.16602434489075724,0.9585455405829578,0.6196621754317645,0.2847699460448431,0.3074725054169801,0.5117787436451401,0.9213877773543361
16,0.363397499617142,0.401748425465949,0.9377765741564128,0.4332597802622305,0.24603269869243424,0.9678892671769059,0.60457955526103,0.39490568578275165,0.33964623947733236,0.5390230177036924,0.9384831258468834
17,0.3665293645632418,0.37637997561312736,0.9571484898093066,0.4372841553588608,0.4271499420479543,0.9781051307993147,0.608486712566145,0.5986055556783275,0.43221704870340755,0.6071941957387073,0.9580649242039295
18,0.33913720465159114,0.35253475764964487,0.9674774782567717,0.4768119913003043,0.47829014085462435,0.983469939502411,0.6457314730773287,0.6470856128122681,0.47755106607746434,0.6408598701372334,0.9679792037178184
19,0.33648537212534796,0.32062513745845633,0.9615628160790127,0.46351921818205827,0.5345034102342575,0.9804048161976174,0.633430996222692,0.6966467544736966,0.4990113142081579,0.6531951481651096,0.9624273797425474
20,0.34357909688466715,0.35120715264310226,0.9564932717425252,0.48348530838574033,0.3548893434191578,0.977762904229808,0.6518235208029751,0.5238646907113016,0.41918732590244906,0.598289307849141,0.9572164263634824
21,0.3114357826453221,0.3253973367366385,0.9625273395157699,0.4701641541354714,0.5442289084610533,0.980905916707649,0.6396076966139213,0.704855226422902,0.5071965312982624,0.6589734673707649,0.9634200330284552
22,0.2852102016346364,0.30865790805918103,0.965105471096254,0.487657554855033,0.5507686011474736,0.9822429231321208,0.655604582201787,0.7103169366982781,0.5192130780012533,0.6678438756995869,0.9658568343495935
23,0.28262000370629226,0.3098409702169134,0.9656483893590994,0.48762721991534574,0.5622110582967278,0.9825240308353922,0.6555771679723559,0.7197632551771899,0.5249191391060368,0.6718288891903911,0.9664525374745935
24,0.2922775949103923,0.3042333208500071,0.9673099702669568,0.4879355268379235,0.6339337056613286,0.9833833863361109,0.6558557384201404,0.7759601304077955,0.560934616249626,0.6963930675887363,0.9680727578760162
25,0.27415211517599564,0.310200757168709,0.9680415262395579,0.49335943213983574,0.6058193338613531,0.9837612807787105,0.6607376918400691,0.7545298790301646,0.5495893830005945,0.6890734307469156,0.9687256785653794
26,0.2672186131718792,0.3067373680941602,0.9675473863705141,0.4843457200042052,0.6427559988768834,0.9835060574122434,0.6526050009465896,0.7825337412449831,0.5635508594405443,0.6982163684172008,0.9682987699017616
27,0.27410523555701294,0.3015611361950002,0.9677732738904291,0.48865334814098016,0.6440997871234194,0.9836227442779237,0.6565038781543158,0.7835288249144066,0.5663765676321998,0.7001754697182762,0.9685520409891599
28,0.26280170150949983,0.29972158847971164,0.968321169336062,0.4921059783853443,0.642631242358329,0.9839056597279683,0.6596126354481442,0.7824412756641619,0.5673686103718367,0.7010194633599118,0.9690724508807588
