epoch,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc
1,0.5573288168509801,0.4290729651325627,0.9547795368952691,0.42308579263136803,0.3326474330648296,0.9768667196217158,0.5946033539538862,0.4992279650436954,0.3778666128480988,0.5701709208638222,0.9550305989583333
2,0.44173801243305205,0.5814289497701746,0.9593565625840373,0.3759267666348833,0.26352376541238104,0.9792567426510868,0.5464342663444085,0.41712514259891864,0.31972526602363216,0.5329356982104339,0.9594173828125
3,0.42341118812561035,0.38934162651237686,0.963466201817731,0.4638901494783702,0.4209718813885397,0.9813932126010385,0.6337772675684289,0.5925126132364787,0.442431015433455,0.6161094108948802,0.9638835286458334
4,0.40165958404541013,0.40968783121359975,0.9317047340829748,0.450970204318765,0.21849728560044637,0.9646450802174762,0.6216119434795657,0.3586340128657342,0.3347337449596057,0.5337240746673954,0.932687890625
5,0.4031820552547773,0.36586236561599533,0.9566284145733586,0.45367712988117415,0.4030378967115118,0.9778335093655999,0.6241786715297067,0.5745217540540648,0.428357513296343,0.6044478137220148,0.95749921875
6,0.3887309323747953,0.34462576869286987,0.9546486108095912,0.4379340969402606,0.478288454888518,0.9767981882065111,0.6091156720911316,0.6470840698334306,0.45811127591438927,0.6236237208794566,0.95532109375
7,0.3853625499208768,0.42234783737283005,0.9630905669703343,0.4699391688017319,0.33268631741536875,0.9811983035063795,0.6393994782584342,0.49927175370207966,0.40131274310855036,0.588572017729145,0.9636302734375
8,0.38157147586345674,0.3601645419472142,0.9658444615456695,0.4690245794443643,0.5498873503980902,0.9826255132985062,0.6385523918486995,0.7095836355549984,0.5094559649212272,0.6615854637960413,0.9664124348958333
9,0.37904860367377596,0.33977565796751724,0.9612610933373812,0.45959774016248056,0.557785255689413,0.9802479604606347,0.6297594570286451,0.7161259918878353,0.5086914979259467,0.6595480297297582,0.9618820963541667
10,0.3628009135524432,0.3769344216898868,0.9498313070657279,0.4815363511659808,0.29017986007065194,0.9742702393009731,0.6500499981482167,0.4498285379447193,0.38585810561831635,0.5738491727674536,0.9497674479166667
11,0.36029392858346304,0.34194588974902507,0.9656259050128168,0.4741275295914471,0.5410386753470674,0.9825123921599115,0.6432652807492865,0.7021740388510581,0.5075831024692572,0.6602640366504438,0.9664104817708333
12,0.33865560402472816,0.31052728075730174,0.962354550241699,0.48053837843608466,0.5650778041302713,0.9808161834192173,0.6491400499103369,0.7221082589491971,0.522808091283178,0.669323577602685,0.9633951822916667
13,0.3448725755016009,0.36051859588999496,0.9616752940047643,0.4713910080113454,0.45436292896349534,0.9804632774280417,0.6407419991623473,0.624827434631208,0.4628769684874204,0.6291430769932017,0.9625436848958333
14,0.3238359102606773,0.3122813482033579,0.9663436328101513,0.4806211229339823,0.6136714770797963,0.9828837815383522,0.6492155427062783,0.7605903503857373,0.5471463000068892,0.6868787442746433,0.9667374348958333
15,0.3132509020964305,0.36005851547969014,0.965782169034629,0.49320743136039774,0.5334671640478272,0.9825932743188046,0.6606013618765043,0.695766008630608,0.5133372977041125,0.6641522548142846,0.9666174479166667
16,0.307848671178023,0.3183658624950208,0.9636403790921847,0.49330114358322746,0.5067121189791172,0.9814835642539471,0.6606854159363119,0.6726064157796027,0.5000066312811723,0.6545512138848432,0.9644826171875
17,0.2955002487699191,0.30841348908449473,0.9641270909011797,0.49588597798744594,0.5217433670626281,0.9817359532053697,0.6629997008924534,0.6857179447671684,0.5088146725250371,0.6605854786504178,0.9649876953125
18,0.2988339612881343,0.2984986987553145,0.9682467463674662,0.4997055208279929,0.6545342486132659,0.9838672393635927,0.6664048560041356,0.7912006042327118,0.5771198847206294,0.7074955052695749,0.9690319010416667
19,0.284184314707915,0.2817772893529189,0.9684532447120646,0.5079748315413437,0.6658750160181112,0.9839738356129714,0.6737179174563919,0.7994297406653368,0.5869249237797274,0.7141010307571731,0.9694125651041666
20,0.2704961774746577,0.2773495449831611,0.9662156291544287,0.48989987169970295,0.739224602645992,0.982817565711193,0.6576279131305877,0.850062265128222,0.6145622371728474,0.7317800345000411,0.9672477213541667
21,0.2581561761101087,0.2754565626382828,0.9699805966553809,0.5174413789602763,0.6432194004200879,0.9847615741009907,0.6819919189429484,0.7828770768597904,0.5803303896901821,0.710213792011915,0.9707378255208333
22,0.26823049078385036,0.2749774722676528,0.97022356945098,0.513407858294165,0.6753437544298251,0.984886775789959,0.678479175961002,0.8062151455713242,0.594375806361995,0.7196583940583233,0.9710149739583334
23,0.24459079851706822,0.27261065025078624,0.9706105124736487,0.5067406631097561,0.7419561875289189,0.9850861003022563,0.6726315623073397,0.8518654979278593,0.6243484253193374,0.7397691210374413,0.97134296875
24,0.24327921648820242,0.26447039607324097,0.9682566916467208,0.5157699466636959,0.6490675932310466,0.9838723737162953,0.6805385577131117,0.7871934369401041,0.5824187699473713,0.711031410513821,0.969174609375
25,0.2361504505077998,0.276555871492938,0.9707267893782345,0.5124884918442891,0.7266233380228664,0.9851459822946836,0.6776758892484186,0.8416697747812365,0.6195559149335778,0.7366128730817967,0.9715970052083334
26,0.24440613677104314,0.26286124712542486,0.9692214336710249,0.5153033092294279,0.6788523600324804,0.9843701851895865,0.6801322297533599,0.8087100166679895,0.5970778346309542,0.7211257009776443,0.9701712239583333
27,0.23135175118843715,0.26311916740317093,0.9692630047091123,0.5156701072191564,0.6866208069253362,0.98439162508137,0.6804516428251939,0.8141970075384368,0.6011454570722463,0.723851306284535,0.9702265625
28,0.23173046708106995,0.26446486382107987,0.9695698764135627,0.5178321474765423,0.679412651250915,0.9845498634240648,0.6823312424070861,0.8091074587831081,0.5986223993637286,0.72227155838034,0.9705238932291667
29,0.2326403872172038,0.2607081595220064,0.968716591689491,0.5164398069960809,0.6743004731732076,0.9841097451798978,0.68112140635387,0.8054712806659414,0.5953701400846443,0.7198189572862598,0.9697134765625
30,0.2349328377842903,0.26158555557853297,0.9680929094196233,0.5119611041619424,0.6775101684090221,0.9837878128478265,0.6772146489121688,0.8077568543761303,0.5947356362854823,0.7191880606635292,0.9691236979166666
