epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
85,val,0.145188744875292,0.2864424221609768,0.0991209863157322,0.19125650306542716,0.0,0.0,0.0,0.9762099123795492,0.5469468754624925,0.7798050341917648,0.987961760807178,0.7071307801684802,0.87628141196475,0.6633759548271287,0.7676539406779356,0.9766183725992839,0.7223560173452037,0.6232111685615785,0.6727835929533912
1,val,0.9935808807611466,0.9971608927375392,1.0314513540267944,0.9557104074954986,0.0,0.0,0.0,0.5616195497119651,0.03437677127487677,0.010611703488394636,0.7192783284706621,0.06646856779760657,0.021000555310740066,0.022494237381635702,0.2022026748250789,0.5588140869140625,0.05720389865886983,0.02463617839071479,0.04092003852479231
5,val,0.4779892373085022,0.5078249314897939,0.23343172013759614,0.7225467628240585,0.0,0.0,0.0,0.9518954737005032,0.33719600355574336,0.64541663411204,0.9753549680566154,0.5043329514283681,0.7845023816236589,0.49130631883389164,0.6448360371227622,0.9522788492838542,0.27674042767206025,0.2146812252444565,0.24571082645825837
10,val,0.21297589935362338,0.3871032121150117,0.09141074195504188,0.3345410543680191,0.0,0.0,0.0,0.9687325547219234,0.41386473851017397,0.7617648179912331,0.9841179823013121,0.5854375277033559,0.8647746966133635,0.5878147782507035,0.7147873704077767,0.969311040242513,0.4896607920310336,0.4561620752950391,0.47291143366303634
15,val,0.16105507053434848,0.4459479757045445,0.0792932635731995,0.2428168785572052,0.0,0.0,0.0,0.9712647995741525,0.3962897400632484,0.7393433224654072,0.9854229627434857,0.5676325316911625,0.8501407547504027,0.5678165312643279,0.7022992873676027,0.9716023508707682,0.5345387312969249,0.44582330482833604,0.4901810180626305
90,val,0.14268279742449522,0.2882991256682496,0.09702565592092773,0.18833993911743163,0.0,0.0,0.0,0.9767773004218029,0.5527326048023256,0.7832252423225321,0.9882522428939052,0.7119482170887917,0.8784366929468017,0.6679789235624288,0.7709117158488868,0.9772011311848958,0.7316135208707503,0.6153541743828396,0.6734838476267949
91,val,0.14236982694516578,0.29030917349614593,0.09752288120177885,0.1872167726357778,0.0,0.0,0.0,0.9767061235234011,0.5527919948913038,0.7814183501272006,0.9882158120524873,0.7119974815815553,0.877299091559716,0.6671051725092523,0.7703054895139685,0.9771349589029948,0.732212691264759,0.6115361516171097,0.6718744214409343
20,val,0.12499264240264893,0.40640743370903165,0.05680767579004169,0.19317760765552522,0.0,0.0,0.0,0.9723284073844671,0.42603132554605844,0.7940753260397871,0.9859700886972325,0.5975062649944548,0.8852196053469128,0.6100533257929228,0.7308116863234376,0.972839330037435,0.5566969377368234,0.5675530674324808,0.562125002584652
92,val,0.14333096203083792,0.2872793747014121,0.09650747214754422,0.19015445152918498,0.0,0.0,0.0,0.976699453825165,0.5515100310901055,0.7819215836386504,0.9882123981317719,0.7109332457265641,0.8776161541766403,0.666715807364378,0.7700436895179736,0.9771200815836588,0.7310521507508502,0.6118393497718825,0.6714457502613663
93,val,0.1442016215249896,0.28764494037941885,0.09745756917012234,0.1909456737836202,0.0,0.0,0.0,0.9768607559170247,0.5508366631679003,0.7800179559728873,0.9882949550120228,0.710373537394588,0.8764158286780431,0.6654273095703938,0.7692384583526041,0.9772590891520182,0.7316020191145662,0.6176413484430955,0.6746216837788308
25,val,0.10904295518994331,0.3861518117942308,0.058423635214567185,0.15966227471828462,0.0,0.0,0.0,0.972228292735768,0.4557904089884258,0.7273610142720948,0.9859186143072167,0.626175864567122,0.8421644442156206,0.5915757116302602,0.7184599053320962,0.9726390838623047,0.6055005033776019,0.6060601273115921,0.605780315344597
94,val,0.14420944753413398,0.2842567192488595,0.09743013323905568,0.19098876138528187,0.0,0.0,0.0,0.9768401840213694,0.5534791967173459,0.7787315267598217,0.9882844267504124,0.712567246329274,0.8756032206595865,0.6661053617385838,0.7696836358328456,0.9772413889567058,0.7341994084066807,0.6153811009885216,0.6747902546976012
95,val,0.14317427057772875,0.2835619771166852,0.09738543534340958,0.18896310567855834,0.0,0.0,0.0,0.9767517970643074,0.5543701370126453,0.7801280814858543,0.9882391896796457,0.713305182352632,0.8764853378805075,0.6672491092492498,0.770416671854269,0.9771640523274739,0.7338919524670471,0.6152552661517902,0.6745736093094186
30,val,0.1706226377002895,0.29850951582193375,0.10481342657469213,0.23643184900283815,0.0,0.0,0.0,0.9695709625610132,0.4962893853522541,0.6842977484353944,0.9845504234082431,0.6633601630949463,0.8125614952238267,0.5902935668938243,0.716719365449554,0.9702959950764974,0.6357093317385266,0.5513273096891217,0.5935183207138242
96,val,0.14172743719071149,0.27547333389520645,0.09634783616599937,0.18710703869660694,0.0,0.0,0.0,0.9766060286005609,0.5563381404485456,0.779509745473894,0.9881645755092622,0.7149322194060036,0.8760949440783263,0.6679239429612198,0.7708179715076667,0.9770234934488933,0.7347632440916292,0.6212023562108898,0.6779828001512596
97,val,0.14433507970223824,0.28002060283171504,0.09772282777354122,0.1909473309914271,0.0,0.0,0.0,0.9768155935711511,0.5555808134422844,0.779580774105489,0.9882718415899554,0.714306590363327,0.8761398026423918,0.6675807937738867,0.7706590603729748,0.9772204081217448,0.7355937328729555,0.6175225240926081,0.6765581284827817
98,val,0.1423689443555971,0.28227304529986885,0.09674888698694607,0.18798900226751963,0.0,0.0,0.0,0.9769451437139776,0.5546991331668865,0.7785605875343046,0.9883381406108667,0.7135774650327064,0.8754951537677519,0.6666298603505956,0.7700682881383895,0.9773419698079427,0.7369556847876313,0.6193034997534473,0.6781295922705393
35,val,0.1409182646125555,0.2808734778510897,0.07768248462118209,0.2041540437936783,0.0,0.0,0.0,0.9737698810522141,0.5123168375751408,0.7767614147725129,0.9867106499092981,0.6775257999462508,0.8743564648740026,0.6445391261738269,0.7542827111332892,0.974267323811849,0.6771404433630567,0.5918362370069066,0.6344883401849817
99,val,0.14213739056761066,0.28005919919202205,0.0969395451185604,0.18733523527781168,0.0,0.0,0.0,0.9768356238985536,0.5557191437752981,0.7786520166984807,0.988282092946219,0.7144209107393538,0.8755529573950145,0.6671855802368893,0.7704022614574443,0.9772388203938802,0.736668709541556,0.6184815903453428,0.6775751499434495
100,val,0.14195451631521186,0.2801328595531614,0.09708666987717152,0.18682236313819886,0.0,0.0,0.0,0.9768302176935824,0.55517705359926,0.7783070473534908,0.9882793261155981,0.7139727946916051,0.8753348287201377,0.6667420504763754,0.7701047728821111,0.9772325897216797,0.7361112793797524,0.6186077635730671,0.6773595214764098
40,val,0.12847903376445174,0.29591664260155276,0.07243533719331026,0.18452273070812225,0.0,0.0,0.0,0.9745086233357957,0.5166310047904421,0.8012736585814039,0.9870897617954495,0.6812876740072008,0.8896745419709833,0.6589523316859229,0.7641377622358805,0.9751337432861328,0.6706990091010664,0.6226728910456466,0.6466859500733565
45,val,0.1101053399220109,0.31659561905421707,0.060598428011871874,0.1596122518181801,0.0,0.0,0.0,0.974638547423148,0.5069441268725341,0.7957794745617176,0.9871564076321978,0.6728107802173535,0.8862775032618496,0.6513618007171258,0.7591207162857999,0.9750274912516276,0.6737168842690697,0.6183136203565229,0.6460152523127963
50,val,0.11310118936002254,0.3686462072165389,0.06308639329858125,0.1631159859895706,0.0,0.0,0.0,0.9657545283866035,0.481598699390146,0.5082854196722308,0.9825789684729844,0.6501068063685276,0.673991027219089,0.4949420595311884,0.6518795491496602,0.9661665344238282,0.6520231972555812,0.5233224275003479,0.5876728123779645
55,val,0.10019011663738638,0.3438059936620687,0.05577991538448259,0.1446003183722496,0.0,0.0,0.0,0.975880303359831,0.5185736942398266,0.8015698789289731,0.987792936343788,0.6829746836875323,0.8898571055212176,0.6600717865843999,0.7653412921762103,0.9764014689127604,0.6937706138484154,0.6390769972703212,0.6664238055593683
