epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
1,val,0.993098630309105,0.9971466848724767,1.030559430718422,0.9556378245353698,0.0,0.0,0.0,0.5653477240598762,0.03439925313088953,0.010585027317967307,0.7223286115542352,0.06651059158592947,0.020948316137355295,0.02249214022442842,0.203444001502911,0.5626211293538411,0.05814126296814006,0.02481690830456401,0.04147908563635204
85,val,0.144969767468671,0.28307471992938144,0.09782814132981002,0.19211139301458993,0.0,0.0,0.0,0.9767181357348773,0.555747888594188,0.7748325957505966,0.9882219605090701,0.7144446637769509,0.8731331592689295,0.6652902421723923,0.7690995400265539,0.977124277750651,0.739255873737692,0.6528504409627299,0.6960531573502109
5,val,0.4788605958223343,0.48770168972642797,0.23518164545297623,0.7225395482778549,0.0,0.0,0.0,0.9558381562627557,0.34708290809529335,0.6053055698813822,0.9774205020002118,0.5153103881127122,0.7541312772322952,0.4761942389883378,0.6360755447464771,0.9564923858642578,0.30813269332070253,0.22217956112970244,0.2651561272252025
10,val,0.1921685115247965,0.40177789173628153,0.07727876914665104,0.307058253288269,0.0,0.0,0.0,0.969965817410873,0.40547155388428224,0.7304768673029696,0.9847539574932316,0.5769900539981562,0.8442492137343072,0.5679742105936259,0.7019714128660416,0.970280049641927,0.5207888903472739,0.4412828845216278,0.48103588743445086
15,val,0.15074789207428693,0.4394705707305356,0.07194823428988456,0.22954754889011383,0.0,0.0,0.0,0.9710166306034709,0.41952603707689967,0.6808603721482813,0.9852952182409261,0.5910790307739495,0.8101331715948356,0.5501932046125905,0.6904676799428838,0.9711723581949869,0.5538089603547823,0.5555831775616743,0.5546960689582283
90,val,0.14187813504288593,0.2905813822228658,0.09599004277649024,0.18776622752348582,0.0,0.0,0.0,0.9768498222371066,0.5552151594216508,0.7730719365867976,0.9882893594128989,0.7140043048810335,0.8720141813027372,0.6641435480042241,0.7683789727485184,0.9772363789876302,0.7386059872669558,0.6869459356211324,0.7127759614440441
20,val,0.11989788632839918,0.4046050068971358,0.05490534516982734,0.18489042699337005,0.0,0.0,0.0,0.9710633123857562,0.41651975865297697,0.7139328225971134,0.9853192500553323,0.5880888792529962,0.8330931214857007,0.5652262906250451,0.7005052978786156,0.971376469930013,0.5669924138716853,0.5421715741144564,0.5545819939930708
91,val,0.14265677844174207,0.2873292018316294,0.09597972532113393,0.18933383166790008,0.0,0.0,0.0,0.9769420903181738,0.55555667593783,0.7735375840041427,0.9883365780946496,0.7142866403152945,0.872310337238769,0.6645471299709864,0.7686787834200489,0.977305908203125,0.7396238779524759,0.6463003253794356,0.6929621016659557
92,val,0.14246136151875058,0.2803341885538478,0.09536210697454711,0.1895606162150701,0.0,0.0,0.0,0.9768725261167664,0.5571638867084568,0.7752843582623647,0.9883009786530528,0.7156136762023084,0.8734199168196439,0.6662241224854109,0.7697735903625293,0.9772492980957032,0.7395237623568861,0.632038619828187,0.6857811910925365
25,val,0.12359689872711897,0.40024975687265396,0.06994352458044886,0.1772502738237381,0.0,0.0,0.0,0.973279105219345,0.435790024485804,0.7961767216321262,0.9864586339003044,0.6070386575389008,0.886523816997992,0.6159833730589651,0.7350819504457583,0.9735556030273438,0.5873984929547933,0.5949200106373571,0.5911592517960752
93,val,0.14400781497980158,0.28472182703645604,0.09604505918920041,0.1919705706834793,0.0,0.0,0.0,0.9769137462836958,0.5575756227386875,0.7769647268480335,0.9883220733531228,0.7159531962349301,0.8744852557948155,0.6672701747933605,0.7704846986234722,0.9773041788736979,0.740359208095501,0.6632015130186388,0.7017803605570699
94,val,0.14249732247864208,0.2853423749145709,0.09531261356237034,0.1896820306777954,0.0,0.0,0.0,0.9770353800352859,0.5563122718337545,0.7751787831126469,0.9883843151232304,0.7149108593460733,0.8733529157591973,0.6657455274732007,0.7695088116605625,0.9774078877766927,0.7405992516487473,0.6211520837436043,0.6808756676961758
30,val,0.18032089948654176,0.28977973876815094,0.11221201646141708,0.2484297838807106,0.0,0.0,0.0,0.9695747003768844,0.49051534545175257,0.7309954615029844,0.9845523505062825,0.6581822145589313,0.8445954686308392,0.6107554034773686,0.7303618357772071,0.9701450093587239,0.6373109481244786,0.6150833427201242,0.6261971454223014
95,val,0.14254539494713148,0.2832026407122612,0.0962763478482763,0.1888144415616989,0.0,0.0,0.0,0.976929022628113,0.5580959856157959,0.7758888886725709,0.9883298909025997,0.7163820339287035,0.8738034159924576,0.6669924371441833,0.7703046323054932,0.9773226165771485,0.7403550347797013,0.6386300966447868,0.689492565712244
96,val,0.14283902866144976,0.2744988312846736,0.09549096532476445,0.19018709182739257,0.0,0.0,0.0,0.9769875628588779,0.5593784634358394,0.7772954258971325,0.9883598472881416,0.7174377183629163,0.874694678859902,0.668336944666486,0.7712204840639499,0.9773633321126302,0.7414925749493729,0.6454845125277215,0.6934885437385472
97,val,0.1420806076005101,0.27790649548957225,0.09526284800531963,0.18889836668968202,0.0,0.0,0.0,0.9770258413505779,0.5589501023524354,0.7775965578570485,0.9883794343154727,0.7170853018438332,0.8748853100778581,0.6682733301047419,0.7711908338533539,0.9774008433024088,0.7417270515497232,0.6406042819588259,0.6911656667542745
35,val,0.14582003030925988,0.2795788688879264,0.08053431800566614,0.21110574245452882,0.0,0.0,0.0,0.9741528203022791,0.5152533741045552,0.7715586372252012,0.9869072042286153,0.6800887335546059,0.8710506341847046,0.6434060056648783,0.7536549438773452,0.9745691935221354,0.6806581351987894,0.6275950589173749,0.6541265970580821
98,val,0.1423817893055578,0.2787009128614476,0.09560045142658055,0.1891631273428599,0.0,0.0,0.0,0.977040372378783,0.5585328367188171,0.7769435510916997,0.9883868696148113,0.7167418273903008,0.8744718430862582,0.6677381939052585,0.7708389200631,0.9774127960205078,0.7421261147959671,0.6377788413226654,0.6899524780593163
99,val,0.14296125780170163,0.27748218374816996,0.09636294493141273,0.18955956955750783,0.0,0.0,0.0,0.9770575417830931,0.5595524766092903,0.7769186151401872,0.9883956547889773,0.7175808252709065,0.8744560482629571,0.6682355458747388,0.7711762111775236,0.9774317677815755,0.7432245788340736,0.635595047765366,0.6894098132997197
100,val,0.1427547627190749,0.2796635639510657,0.09578648173871139,0.18972304403781892,0.0,0.0,0.0,0.977132507665516,0.5586915353757199,0.7771712129915698,0.9884340112532546,0.7168724827148667,0.8746160272125186,0.6679313741836448,0.7709984186776019,0.9775021362304688,0.7431324806437566,0.6330236853022242,0.6880780829729904
40,val,0.12957987759262324,0.329197721653863,0.0742213488696143,0.184938405752182,0.0,0.0,0.0,0.9744779164637914,0.5148528423509116,0.7387222598395911,0.9870740091224127,0.6797397449535858,0.8497300309570354,0.6267875510952513,0.7426843395514314,0.9748579661051432,0.6872257443843165,0.6272214214347914,0.657223582909554
45,val,0.1251109003648162,0.2862063736507767,0.07096313573420047,0.17925866425037384,0.0,0.0,0.0,0.9747406837934445,0.5160197636231991,0.7863551464211861,0.9872087933297486,0.6807559848559518,0.8804018036352773,0.6511874550221926,0.7590385312792766,0.9751458994547526,0.6904357124673336,0.6255052454890594,0.6579704789781965
50,val,0.11131522268988192,0.3055790321607339,0.061570058981888,0.16106038630008698,0.0,0.0,0.0,0.9747631311200186,0.5188605172053568,0.7557791291280748,0.9872203058269232,0.6832233919149331,0.860904559793232,0.6373198231667158,0.7498009258178167,0.9751602681477864,0.6965412854830961,0.5788245870107414,0.6376829362469187
55,val,0.10255713310092687,0.3182280942013389,0.057570210583508016,0.14754405587911607,0.0,0.0,0.0,0.9759124586530186,0.520606724581525,0.7995175695687049,0.9878094086397927,0.6847355284776836,0.8885910124904502,0.6600621470751149,0.7653455842677496,0.9762389628092448,0.6960325895906725,0.5992199442058989,0.6476262668982857
60,val,0.09964475167915225,0.356213745317961,0.05523932034149766,0.14405018270015715,0.0,0.0,0.0,0.9754232776151849,0.5074660373047013,0.7826089439281867,0.987558756311465,0.673270275743039,0.8780489367495449,0.645037490616444,0.7551660862826909,0.9757353973388672,0.6889747250940675,0.6289931844537517,0.6589839547739096
65,val,0.09353939958848059,0.3462754784053878,0.05178062388440594,0.13529817521572113,0.0,0.0,0.0,0.9755180656004863,0.5220768240987506,0.7681481197678205,0.9876073345894348,0.6860058780645081,0.8688730442658704,0.6451124719332855,0.7552476698223525,0.9758296457926432,0.7052363813370128,0.6239633252234806,0.6645998532802467
70,val,0.17338144414126874,0.27494301882229355,0.12452269059916338,0.22224019825458527,0.0,0.0,0.0,0.9664847439827351,0.4982911294427623,0.6918179243971053,0.9829567678468808,0.6651459381303079,0.8178396911637414,0.5950545269199339,0.7188645992742009,0.9672645823160807,0.6547459459897349,0.5654939068446907,0.6101199264172128
75,val,0.15819417145103215,0.25733138620853424,0.1059177816628168,0.2104705611864726,0.0,0.0,0.0,0.9765152414587909,0.5463867974328341,0.7895740681139914,0.9881180989407014,0.7066625223907681,0.8824156341806105,0.6679804327734128,0.7708253690018722,0.9768428548177084,0.7293040412549918,0.6142713236897117,0.6717876824723518
80,val,0.1511463315784931,0.2806017804694803,0.10208743816552063,0.2002052249511083,0.0,0.0,0.0,0.9763461050393024,0.5490398737964424,0.769885790162805,0.988031501719064,0.7088776513555275,0.8699835824909201,0.6594628319796236,0.7650905896661833,0.9766912078857422,0.7352235982251416,0.5890328996703171,0.6621282489477294
85,val,0.1451808272333195,0.27291010692715645,0.09958845134358853,0.19077320317427318,0.0,0.0,0.0,0.9764324111050859,0.5493725646492514,0.7811538895955887,0.9880756919576437,0.7091548891258688,0.8771323962051923,0.6652632271224201,0.7689862884499753,0.9767778523763021,0.7347111536543645,0.5676698360754232,0.6511904948648939
90,val,0.14406790241599082,0.27730170049165426,0.09746854662274321,0.190667258699735,0.0,0.0,0.0,0.9767479691014651,0.5514457997894311,0.7757603799669982,0.9882372304097502,0.7108798771626772,0.8737219150946653,0.6636030898782146,0.7679847162859649,0.9770701853434245,0.7391260270996574,0.5551674389379476,0.6471467330188025
91,val,0.14408281916752458,0.28071029464665215,0.09743106901956101,0.19073456982771556,0.0,0.0,0.0,0.9767240609317611,0.5521960093686864,0.7732353160405486,0.9882249932966023,0.7115029365309052,0.872118109814216,0.6627156627046176,0.767385128780332,0.9770447540283204,0.7396688453628849,0.5717044767397184,0.6556866610513017
92,val,0.14463960132251183,0.27661018191199555,0.09709354714800913,0.1921856556336085,0.0,0.0,0.0,0.9766267571791476,0.5544241390773458,0.7753788595172245,0.9881751864706069,0.7133498832647226,0.8734798833056645,0.6649014992972851,0.7688099185912393,0.9769554646809896,0.7399100678088784,0.5909068002293425,0.6654084340191104
