epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
1,val,0.5108558653791746,0.46708927578047704,0.9215975749812592,0.40231780122421723,0.18636016456591098,0.9591993526430707,0.5737897655909318,0.31417131176871593,0.2943389828950641,0.5034251802571291,0.9212408701578776,0.5118232111961741,0.13653607864529455,0.32417964492073437
2,val,0.4200249794125557,0.40333568108709233,0.9513336329500909,0.42756873915475513,0.3468718054044971,0.9750599455530659,0.5990166741923937,0.515077684472463,0.3872202722796261,0.575258059169781,0.9518068949381511,0.5384914099096412,0.21110419664806634,0.37479780327885376
3,val,0.39064788406093914,0.35599784396196665,0.9598915970151709,0.45428235151682067,0.48953747790976354,0.9795353972403819,0.6247512404217831,0.6573013236252654,0.47190991471329213,0.6345704754805851,0.9605476379394531,0.5834095677939579,0.23483470927657174,0.4091221385352648
4,val,0.3698823575675487,0.3477821424603462,0.9565544704726998,0.4551858397552639,0.4357994117402489,0.9777948786077988,0.6256050977403931,0.6070477647181117,0.4454926257477564,0.6158465739894042,0.956917470296224,0.5839757922153378,0.2697898483022429,0.4268828202587903
5,val,0.35151385391751927,0.40757096284314204,0.9471388243991057,0.47242552019221723,0.24673347359096445,0.9728518711976237,0.6416970009193329,0.39580789128938426,0.35957949689159086,0.5554326060607625,0.9478411865234375,0.6059014091850514,0.2548431538287172,0.43037228150688434
6,val,0.3366007535159588,0.32332787858812434,0.959456165915899,0.4862738069134558,0.4679102968294569,0.9793086292057216,0.6543529256204823,0.6375189244739239,0.4770920518714563,0.6378800898862705,0.9604463195800781,0.61049181644815,0.2430944571717229,0.42679313680993647
7,val,0.31986578067143756,0.316060214058349,0.9631129659672588,0.5001187196585452,0.5112800294244804,0.9812099279704128,0.6667721869004893,0.6766185213460195,0.5056993745415128,0.6581705716834282,0.9640945434570313,0.6308284021937998,0.2751710322982895,0.4529997172460446
8,val,0.3108449385066827,0.3082759870510352,0.9660063159333813,0.5113238233577911,0.5267296598171869,0.9827092701630107,0.6766568692363426,0.6900103845238172,0.519026741587489,0.6680199330361197,0.9668480173746745,0.6532268466057216,0.3434492486833743,0.4983380476445479
9,val,0.29043594042460125,0.30137154577594055,0.9643899189786262,0.5082741854984192,0.5267531455183234,0.981872193154051,0.6739811506227651,0.6900305358001984,0.5175136655083713,0.6664724166651229,0.9652452341715495,0.6445974175655773,0.3310606248254763,0.48782902119552685
10,val,0.28378629133105276,0.2978214554880795,0.9654953805035326,0.5070449420658931,0.5547184848217414,0.98244482289873,0.6728995637924691,0.7135934771951251,0.5308817134438173,0.6757529357970556,0.9663507080078125,0.6439314767594497,0.36153535070362636,0.502733413731538
