epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
1,val,1.040053053353712,1.0222681400023008,0.2574922845070414,0.056034359282330345,0.03420165975891495,0.409532985099758,0.1061222275389045,0.06614118133766633,0.04511800952062264,0.11590943451609557,0.27987105094346426,0.10833594251504082,0.03933765867748818,0.0738368005962645
5,val,0.3235524999738928,0.32032748076476547,0.9594113879196975,0.47668146696176666,0.6243794815223387,0.9792853035709895,0.6456117688569983,0.7687606112054329,0.5505304742420527,0.6868241121346009,0.9607017056253933,0.5852346417781497,0.2970170857960317,0.4411258637870907
10,val,0.216602484748213,0.2427707330176705,0.970258337219892,0.5232856742576478,0.8089733692212462,0.9849046887820433,0.6870486384803217,0.8944005290354331,0.666129521739447,0.767505793566262,0.9713340093625472,0.6655337745346923,0.53684976553061,0.6011917700326512
15,val,0.20052924383419296,0.2379204901425462,0.9683256371145964,0.5303636171054256,0.710931456413867,0.9839079660965878,0.6931210480664337,0.8310460991862151,0.6206475367596462,0.7365402368779631,0.969197343659881,0.6746836929017765,0.5244215271103666,0.5995526100060715
20,val,0.18815532037091018,0.2525577047153523,0.9698327805346115,0.5366590039676191,0.7116633020084561,0.9846853906770701,0.6984750716742981,0.831545901782663,0.6241611529880375,0.7393850288368956,0.9708159017882891,0.6864672983929188,0.589756952272321,0.6381121253326199
25,val,0.17775733744187214,0.3009386827286921,0.9717421051273791,0.5469770895316848,0.6880223359169726,0.985668564464319,0.70715603124707,0.8151815545061767,0.6174997127243287,0.7355805101920122,0.9725598584885565,0.7090459749460337,0.5441476979497983,0.626596836447916
30,val,0.16136515477170976,0.3000268471476279,0.971122372807515,0.5478510289792732,0.701077516306894,0.9853496527709977,0.707885989959321,0.8242746254491221,0.6244642726430836,0.740016972697894,0.9719376788043336,0.6991610041313387,0.5996342659599206,0.6493976350456296
35,val,0.1537683200945094,0.3033155324427705,0.9727879098555101,0.5595887652945349,0.6922132461509044,0.986206276909674,0.7176106647432207,0.8181158583002556,0.6259010057227197,0.741529973766983,0.9736060584151505,0.732272808011261,0.5940054602069061,0.6631391341090835
40,val,0.1494673444731687,0.27592608901230914,0.9731928561960529,0.5647576496722463,0.7049679804057691,0.9864143316149916,0.7218467981805876,0.8269574426119044,0.6348628150390077,0.7476394954246895,0.9740503042336278,0.7356186680674401,0.629230782215835,0.6824247251416375
45,val,0.13914512224074613,0.2568378028901,0.9742902495844709,0.5540243706654674,0.8024095311877908,0.9869777250731293,0.713018896129952,0.8903742654523155,0.6782169509266291,0.776908050479243,0.9751751534890809,0.7229048982024862,0.6520075274777732,0.6874562128401297
50,val,0.13402645470593064,0.2822070315872368,0.9745413903611767,0.5594453064391001,0.7781816399944657,0.9871065707900069,0.7174926932404702,0.8752555110139228,0.6688134732167829,0.7707227789315807,0.9754053666287621,0.7256253449498432,0.6512612484465573,0.6884432966982003
55,val,0.12871426013468507,0.2816366955245796,0.973815699282017,0.5603961512900777,0.7574884659746252,0.986734171418584,0.7182742034152839,0.862012446328694,0.6589423086323514,0.7639001055155733,0.9747099908406303,0.731533535782885,0.618600768776387,0.6750671522796361
60,val,0.12674128826076406,0.29940474092176084,0.972721586419861,0.554723894050467,0.7253007859186557,0.9861721928892944,0.7135979528882964,0.8407818414485462,0.6400123399845613,0.7509154221296611,0.973538033914246,0.7259640654913811,0.6244552451651119,0.6752096553282465
65,val,0.12360951798253281,0.27880252662457916,0.9740620348609178,0.5564069045645251,0.7878818410412819,0.9868606129488177,0.7149889954005376,0.8813578425097834,0.6721443728029035,0.7727835934889082,0.9748985239323353,0.7320460832519838,0.6432673590824904,0.6876567211672371
70,val,0.12041965896802091,0.2775897922876634,0.9732724645316204,0.5554414837388303,0.7761093839331682,0.986455223012133,0.7141914235226773,0.873943227769548,0.6657754338359992,0.768274444067873,0.9741538387016963,0.726861454361485,0.621312163070298,0.6740868087158916
75,val,0.11762692635736592,0.28041323960611697,0.974137430515351,0.5599589101486449,0.7839924808464221,0.9868993064591771,0.7179149482793591,0.8789190417153036,0.6719756954975336,0.772696273836806,0.9749975780512663,0.7409694160660698,0.6634203371189471,0.7021948765925085
80,val,0.1143665156911972,0.3049449018741909,0.9731514482204708,0.5575978065684685,0.7585998374924772,0.9863930608044592,0.7159714840596852,0.8627316133204433,0.6580988220304729,0.7631163640938056,0.9740689424860397,0.7289989376297092,0.6445056974153721,0.6867523175225407
85,val,0.11485553816257917,0.3018710423064859,0.9740696504919971,0.5607080212868172,0.7664172217896589,0.9868645214713978,0.7185303255179127,0.8677646620917311,0.663562621538238,0.7670649645228244,0.9749200040062002,0.739956741829607,0.662357498500857,0.701157120165232
90,val,0.11227614113262721,0.3009039998838776,0.9739801791195354,0.5606654888072508,0.7666211579441615,0.9868186007358644,0.7184954019015865,0.8678953656779339,0.6636433233757062,0.7670889419569825,0.9748202074294122,0.7390965972819765,0.6562411073012365,0.6976688522916066
91,val,0.11488015264074668,0.29781996145060186,0.9741048448210504,0.5612116406058735,0.7644430447589563,0.9868825836444888,0.7189437050162898,0.8664978413779156,0.6628273426824149,0.76658651006196,0.9749390774925283,0.736226536924771,0.660526598545603,0.698376567735187
92,val,0.11253931004541656,0.3008662685751915,0.9739117191671116,0.5599193416892717,0.7641226948797744,0.9867834611955715,0.7178824272836087,0.8662920068967761,0.662021018284523,0.7659845852453859,0.9747441183000602,0.7368746833229664,0.6667164362239515,0.7017955597734589
93,val,0.11365446632734169,0.2956178802016534,0.9741910676572273,0.5616061028496491,0.7663194429492342,0.9869268315688409,0.7192673002811905,0.8677019844946121,0.6639627728994416,0.7673722044853702,0.9750119919744914,0.7418073117452718,0.6668288863508052,0.7043180990480384
94,val,0.11222900345030418,0.29843193841607946,0.9741277985474291,0.5608629823875172,0.7671404766206911,0.9868943634390804,0.7186575486973412,0.8682280630996541,0.6640017295041041,0.7673770858518791,0.9749515712661231,0.7392060778832237,0.6662456811348798,0.7027258795090517
95,val,0.11221102271167147,0.29507139658457354,0.9741023387020622,0.5609838922086425,0.7692792235650977,0.986881297493946,0.7187567982074486,0.8695961760235901,0.6651315578868702,0.7681218181586008,0.9749324721777999,0.7403859712541248,0.666405314208499,0.7033956427313119
96,val,0.11057222556582717,0.2946317021391894,0.9741975613353986,0.5613927103777071,0.7687645747932049,0.9869301638448241,0.719092265061112,0.8692672679551885,0.665078642585456,0.7681182821687703,0.9750216951306234,0.7366946285123461,0.667398155731044,0.7020463921216951
97,val,0.11262734666268691,0.2959515870009598,0.9740929902361916,0.5611951876680012,0.7676554393525105,0.9868764997941111,0.7189302043728093,0.8685577768863161,0.6644253135102558,0.767647872418901,0.9749230506436136,0.7350727848542489,0.6659140309359588,0.7004934078951038
98,val,0.11134750230169771,0.2953899065522771,0.9740981408087754,0.5614249422669517,0.7688994830787953,0.9868791431105788,0.7191187063424874,0.8693535053111267,0.6651622126728736,0.7681408553848409,0.9749272493708053,0.7398842314788456,0.6672597664948409,0.7035719989868432
99,val,0.11207818289432811,0.29408330529143933,0.9742048393221452,0.56136123339805,0.7688940885992364,0.9869338985681386,0.7190664420127021,0.8693500572531319,0.6651276609986432,0.7681533871064771,0.9750277115994652,0.7406733949426385,0.6663783382815228,0.7035258666120807
100,val,0.11029295624540097,0.29692627097430985,0.9741533359618948,0.561446894926576,0.7666636441750109,0.9869074688539776,0.7191367144804204,0.8679225914936675,0.6640552695507934,0.7674212916878272,0.974980603928534,0.7350793885222245,0.6653394693305172,0.700209428926371
