epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.8400721122821172,0.8205527710287195,1.019365552663803,0.6607786746819814,0.0,0.0,0.0,0.0,0.7254157977217988,0.04878858325442914,0.01769848838801534,0.8408591119655006,0.09303797549556916,0.03478139859684548,0.03324353582122224,0.2639676231214144,0.7230301920572917,0.081419059649449,0.03281442588117208,0.057116742765310535,400,400,400
5,val,0.3404684467116992,0.31303538185985463,0.20477519477407138,0.47616170038779576,0.0,0.0,0.0,0.0,0.9668502304038443,0.4792139747665518,0.7204802009801793,0.9831457580838022,0.6479305671002479,0.837533847317409,0.5998470878733655,0.7221814687168585,0.9675776926676433,0.6074896117077286,0.48083963250277806,0.5441646221052534,400,400,400
10,val,0.2612986549735069,0.2841669819072673,0.14439336907118558,0.3782039406398932,0.0,0.0,0.0,0.0,0.9715492610569758,0.5238106639929365,0.730675869034593,0.9855693491889869,0.6875009820713063,0.84438210771631,0.6272432665137648,0.7420119313615018,0.9721456146240235,0.6623290739955137,0.5797787044165842,0.6210538892060489,400,400,400
15,val,0.23429396276672682,0.2529890435306649,0.11921191344658534,0.3493760132292906,0.0,0.0,0.0,0.0,0.9721996563018425,0.535491262721914,0.8082785665149649,0.9859038897966916,0.6974852618472952,0.8939757197617325,0.6718849146184395,0.7719898285129071,0.9731723276774088,0.6616392044562257,0.5595261909711425,0.6105826977136841,400,400,400
20,val,0.24304082319140435,0.2755124780692552,0.1204075626656413,0.3656740833818912,0.0,0.0,0.0,0.0,0.9723462395308192,0.5333316413511974,0.786927499207595,0.9859792566259771,0.6956507346071809,0.880760410880189,0.6601295702793961,0.7642017933632038,0.9731216684977213,0.6792790358729085,0.6868953446202198,0.6830871902465642,400,400,400
25,val,0.23278612087170283,0.24654514028837807,0.11583517093211412,0.349737070898215,0.0,0.0,0.0,0.0,0.9731380162241224,0.5456749958058196,0.8003055614004593,0.9863861607474972,0.7060669251770335,0.8890774750236298,0.6729902786031394,0.7730395244768005,0.9740359497070312,0.6813876454045182,0.6708784245599069,0.6761330349822126,400,400,400
30,val,0.21207793024679025,0.2663226358984646,0.10967605823030074,0.31447980264822645,0.0,0.0,0.0,0.0,0.9761914425118817,0.5576981500394296,0.7639803108928592,0.9879523021019381,0.7160541983378651,0.8662004968821468,0.6608392304661443,0.7659566344813902,0.9765427907307943,0.7198294112875037,0.6568138452297947,0.6883216282586492,400,400,400
35,val,0.20391023747622966,0.26131009506551844,0.10212411710992456,0.30569635838270187,0.0,0.0,0.0,0.0,0.9749596442648193,0.5612084954862278,0.7601330109732182,0.9873210797962902,0.7189411242749396,0.8637222371653868,0.6606707532297229,0.7654337169080884,0.9754586791992188,0.7179987346372254,0.6495078455878728,0.6837532901125492,400,400,400
40,val,0.20107400278250376,0.2676028268117654,0.10174686582138141,0.30040114040176075,0.0,0.0,0.0,0.0,0.9752706059438685,0.5594912098493461,0.7798442442372124,0.9874805031868964,0.7175304436674516,0.8763061675336992,0.6696677270432793,0.7715353533434758,0.9757228851318359,0.71140779958824,0.6584200804112637,0.6849139399997518,400,400,400
45,val,0.19449030553301175,0.32693284240208176,0.09872672700633606,0.29025388424595194,0.0,0.0,0.0,0.0,0.9728574075824066,0.5485728252613037,0.6167207023289799,0.9862419897589787,0.7084882497130717,0.7629279459841863,0.5826467637951418,0.7127169783908966,0.9733586629231771,0.7154077977051054,0.6141596574523687,0.664783727578737,400,400,400
