epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
1,val,0.9941157710552215,0.9952100076173481,1.0322577637434005,0.9559737837314606,0.0,0.0,0.581183856310864,0.03339373062000799,0.010423203032363527,0.7351249558882444,0.06462924949229694,0.020631361198124972,0.02190846682618576,0.20833359665441184,0.5782161458333334,0.056113963295455885,0.023885206633416353,0.03999958496443612
2,val,0.9196225947141647,0.8564360659373434,0.8976806288957596,0.941564559340477,0.0,0.0,0.8958176455569741,0.16507318030740684,0.14950618827353418,0.9450462154484177,0.283369633938105,0.26012245918933324,0.15728968429047052,0.40346567137930506,0.8942434946695964,0.19154415447424092,0.0645232932637536,0.12803372386899725
3,val,0.7574869120121002,0.7130243903712222,0.6236226356029511,0.8913511902093887,0.0,0.0,0.936341916315142,0.2344238708086838,0.5031154175174216,0.9671245645469477,0.3798109812233464,0.6694301870023768,0.3687696441630527,0.5579604015470824,0.9367184702555339,0.1877899435280347,0.1496043335527661,0.1686971385404004
4,val,0.6130278089642525,0.5671258004088151,0.39762294918298724,0.8284326666593551,0.0,0.0,0.9562352508023312,0.3131844166928528,0.6479341158576246,0.9776280745479261,0.47698466827923847,0.7863592477669219,0.4805592662752387,0.6391179277842696,0.9565758005777995,0.2651615017642235,0.18397105854265475,0.2245662801534391
5,val,0.47934250950813295,0.5027405227485456,0.23555050119757653,0.7231345212459565,0.0,0.0,0.9477212355699125,0.3344337616269271,0.5101043291543899,0.9731590109121594,0.5012369609401806,0.6755881952077204,0.42226904539065846,0.5974197754504098,0.9484560902913411,0.2702620358509857,0.20564977268034915,0.23795590426566743
6,val,0.39703653633594516,0.4501754641532898,0.16390091501176357,0.6301721578836441,0.0,0.0,0.9607216336869852,0.3789134325487551,0.6546550424447669,0.9799673928016213,0.5495826258627118,0.7912888495205725,0.5167842374967611,0.664763369560169,0.9611861928304036,0.36263034283456475,0.22618282485408836,0.29440658384432655
7,val,0.31389350414276124,0.47507078906423167,0.12157992701977491,0.5062070792913437,0.0,0.0,0.9680787858290675,0.3271219061338782,0.7179336096860534,0.9837805201698337,0.49297943862118515,0.8358106572200463,0.5225277579099658,0.671044767216333,0.9683068593343099,0.4366715747055406,0.3451653589651508,0.3909184668353457
8,val,0.24433131784200668,0.4093308554668176,0.09041484408080577,0.39824779152870177,0.0,0.0,0.9694894140090627,0.41981205921547515,0.7220996225558154,0.9845083777684134,0.5913628588947816,0.8386270028723745,0.5709558408856452,0.7038003652601178,0.9697521464029948,0.5207883613292,0.39112473913822143,0.45595655023371073
9,val,0.22492678374052047,0.3832676504787646,0.0888824363797903,0.36097112715244295,0.0,0.0,0.9695021065724047,0.42879564325282254,0.7276373054633561,0.9845149221593512,0.6002196959064328,0.8423496102594313,0.5782164743580893,0.7086450184295278,0.9698138936360677,0.5263220889763155,0.4743219047625889,0.5003219968694522
10,val,0.1911010429263115,0.39271288521979986,0.07743901271373034,0.3047630715370178,0.0,0.0,0.9694477276251381,0.41722940511119067,0.753013131510404,0.9844868833296209,0.5887958626972694,0.8591072342528371,0.5851212683107974,0.7132300880822443,0.9697206115722656,0.5082424488796519,0.4716356422208569,0.48993904555025436
11,val,0.17776705712080001,0.48586301348711314,0.07417491784319281,0.28135919630527495,0.0,0.0,0.9696355600363553,0.3661271349955881,0.6181828505839433,0.9845837267666491,0.5360074119262268,0.7640457323606705,0.4921549927897657,0.6513151818719622,0.9696205647786459,0.5076400698238782,0.40552581363171386,0.456582941727796
12,val,0.18226862616837025,0.39012165446030467,0.08570618437603116,0.27883106768131255,0.0,0.0,0.971572877247865,0.4159263927726645,0.7548189735567522,0.9855815003948438,0.587497196034602,0.8602812995882402,0.5853726831647084,0.7141060811924272,0.9718863677978515,0.5461016158997242,0.4441198436775501,0.4951107297886371
13,val,0.15431529983878137,0.5273824490998921,0.06748333148658275,0.24114726841449738,0.0,0.0,0.9683831742699468,0.3718642737639979,0.5483114784099952,0.9839376671456361,0.54212983146461,0.7082702493080678,0.46008787608699653,0.62951964214798,0.9687085723876954,0.5174772733708184,0.48590680521613305,0.5016920392934757
14,val,0.17766083881258965,0.41814933129047094,0.09485030073672533,0.26047137439250945,0.0,0.0,0.9702441726767844,0.3925082558245221,0.7001508740143372,0.9848973910260123,0.5637428060950531,0.8236338135816915,0.5463295649194296,0.6876344341718812,0.9705083719889323,0.5351109041470756,0.5101581082734286,0.5226345062102521
15,val,0.15484158255159855,0.4316796009477816,0.0721420155838132,0.23754114925861358,0.0,0.0,0.9715384860225833,0.40521536450168305,0.7445798603998929,0.9855638050288151,0.5767306204275391,0.8535921768914839,0.574897612450788,0.7071112369747198,0.9717288462320963,0.5398398645658822,0.5399997615942814,0.5399198130800817
16,val,0.1427069541066885,0.41414324743183034,0.0633114567026496,0.22210245192050934,0.0,0.0,0.9717819717633512,0.4189890259141799,0.7433852965091172,0.9856890728078755,0.5905458298301459,0.8528066606935842,0.5811871612116486,0.7113854313955494,0.9718280537923177,0.5571876488914755,0.5598827134705749,0.5585351811810253
17,val,0.1346652489155531,0.41634775227621984,0.06427889095619321,0.20505160629749297,0.0,0.0,0.9714569527010466,0.4248739342671017,0.7069571678053862,0.9855218511061846,0.5963670526201883,0.8283244373545849,0.5659155510362439,0.7010960182578448,0.9716676584879558,0.5683834363312489,0.4691875878091778,0.5187855120702134
18,val,0.1422211791202426,0.4296664595603943,0.0727929873764515,0.2116493719816208,0.0,0.0,0.9724810538620468,0.40977796699902397,0.7566722660477668,0.9860485625025031,0.5813368865046359,0.8614837049259725,0.5832251165233954,0.7129770956362792,0.972816162109375,0.5652720293097081,0.5286974201095889,0.5469847247096484
19,val,0.12687761384993793,0.45252295759947675,0.061671734591946005,0.19208349347114562,0.0,0.0,0.9722010343736719,0.41239231206409127,0.7275590736268063,0.9859045983944753,0.5839628388537672,0.8422971865145913,0.5699756928454488,0.7040508066881898,0.972430928548177,0.5679264731498785,0.5298496863151353,0.5488880797325069
20,val,0.12457837220281362,0.4603132036955733,0.058764166831970215,0.19039257884025573,0.0,0.0,0.9719203577008116,0.4071381655510427,0.7212544779063907,0.9857602553827639,0.5786754641703649,0.8380567628601582,0.5641963217287167,0.7001043337194149,0.9721507263183594,0.5547905419138427,0.48570408027409484,0.5202473110939687
21,val,0.11963644783943891,0.42145723614253494,0.05579018814489246,0.18348270833492278,0.0,0.0,0.9720811843543692,0.44173442984643935,0.7212596069991979,0.9858429683995129,0.612781966916735,0.8380602252749361,0.5814970184228186,0.7116917404000022,0.9723178100585937,0.58457256091932,0.5836489080738272,0.5841107344965736
22,val,0.11216045685112476,0.45207346662094716,0.05319767259992659,0.17112323999404908,0.0,0.0,0.9717890241258518,0.42491004374459407,0.7257749007568131,0.985692700624168,0.596402622902357,0.841100308549551,0.5753424722507036,0.7074913228757529,0.9721128082275391,0.5703334346517167,0.5956152571601452,0.5829743459059309
23,val,0.11152603484690189,0.47903699035707276,0.05205025721341371,0.1710018116235733,0.0,0.0,0.9718964180429943,0.381643293555492,0.7557053606587245,0.9857479420826287,0.552448371204957,0.8608566990707266,0.5686743271071082,0.7030816907524037,0.972089589436849,0.5453493698335891,0.5584119814915776,0.5518806756625834
24,val,0.1047552840039134,0.39786877522343084,0.05010454468429089,0.15940602302551268,0.0,0.0,0.9734297245368773,0.4385320881297709,0.7880270238110978,0.9865359910551879,0.6096938563253107,0.881448673109486,0.6132795559704344,0.7333296121592486,0.9737528991699219,0.6019403762609288,0.6296289736358911,0.6157846749484099
