epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2,loss_aux_ce,loss_cldice
1,val,45.40247342427572,37.94840165188438,0.7474415740550685,0.10193992902351716,9.356867890178849e-05,0.8554696021344789,0.18501903114419516,0.00018711984924648666,0.05101674885120947,0.2831583572524958,0.7496844228108724,0.3307075221809952,0.024219338871866686,0.17746343052643093,,,,0.0,0.0
5,val,19.35997103691101,19.186947119863408,0.9777561872339672,0.5466820644932042,0.8332611520138589,0.9887530055981559,0.7069094250761013,0.9090479565320104,0.6899716082535315,0.7858998012470101,0.9781203206380208,0.7225014601992594,0.7322258654173246,0.727363662808292,,,,0.0,0.0
10,val,16.72949615160624,19.136126744119746,0.9763855897996142,0.5519939781847312,0.7424345157987378,0.9880517190965858,0.7113352061202757,0.8521806806133008,0.6472142469917345,0.7569380279276944,0.9768042500813802,0.734667683273524,0.6283874605692736,0.6815275719213989,,,,0.0,0.0
15,val,15.989232295354208,18.560145729466488,0.977000737501316,0.5534764421751585,0.7217087180445109,0.988366588811822,0.712564963521671,0.8383633195099529,0.6375925801098347,0.7507286325736618,0.977306645711263,0.7390713261813822,0.6350445490606481,0.6870579376210151,,,,0.0,0.0
20,val,14.381380575497944,17.971703679938067,0.9788982360021058,0.564870690290641,0.8099620174046829,0.9893366098296569,0.7219391273610325,0.8950044361329671,0.6874163538476619,0.7845769812324765,0.9791851043701172,0.7579988219049135,0.7059960920534954,0.7319974569792045,,,,0.0,0.0
25,val,13.222584687868753,17.93577698657387,0.9788780436781026,0.5767594468371138,0.7952317544387152,0.9893262970957835,0.7315756984923212,0.8859377096828892,0.6859956006379144,0.7836230816513106,0.979190419514974,0.7692113174218996,0.7043352898819019,0.7367733036519007,,,,0.0,0.0
30,val,13.198169005711874,19.007321232243587,0.9749151196198101,0.578697943622419,0.5994750017167007,0.9872982488558704,0.7331332076034268,0.749589710465359,0.5890864726695598,0.7176960216529765,0.975268809000651,0.7598762245765054,0.6470082852899524,0.7034422549332289,,,,0.0,0.0
35,val,11.586769711176554,18.354190424868936,0.9783409492601105,0.5864267805223392,0.7865982139258086,0.9890519120336715,0.7393051954522039,0.8805541254822652,0.6865124972240739,0.7837886479027528,0.9787187957763672,0.7698514877263678,0.704780949311077,0.7373162185187224,,,,0.0,0.0
40,val,10.914343756039937,18.888853123313503,0.9787565361243755,0.583458437586878,0.7979051930676125,0.9892642356511265,0.736941903541268,0.8875942915612973,0.6906818153272453,0.786706722259622,0.9791145833333333,0.7685821176620741,0.6661585789343868,0.7173703482982304,,,,0.0,0.0
45,val,10.046362017790477,19.715726676740143,0.9788766493958501,0.5730540079790506,0.8138433765040578,0.9893255849925771,0.7285878362374476,0.8973689647588348,0.6934486922415541,0.7885913446263194,0.9793704223632812,0.7483887081687274,0.6901106221178683,0.7192496651432978,,,,0.0,0.0
50,val,9.358066548506418,20.14603361330534,0.9770382121555342,0.561937541892068,0.805264596397624,0.9883857642693558,0.7195390683949623,0.8921291626773342,0.683601069144846,0.7814134501484088,0.9774472300211589,0.7407515251705814,0.6778970058034891,0.7093242654870353,,,,0.0,0.0
55,val,8.643939836025238,20.252729516280326,0.9788952400678615,0.5749705648332544,0.8129822487298779,0.9893350797430719,0.7301349976583567,0.8968452386110557,0.6939764067815661,0.7889493512103313,0.9792201487223308,0.7560766588577142,0.671994030313966,0.7140353445858401,,,,0.0,0.0
60,val,8.071152539253236,20.217083002391615,0.9783636310918171,0.5712598763435374,0.7803063005932712,0.9890635024986573,0.7271360835266923,0.8765978082909004,0.6757830884684043,0.7766432693428752,0.978654530843099,0.7546483541113245,0.6469956600940177,0.7008220071026711,,,,0.0,0.0
65,val,7.533687587579092,20.674012635883532,0.9789246570355873,0.5734886720033066,0.8124375893857324,0.9893501034061684,0.7289390539725493,0.8965137273069712,0.6929631306945194,0.7882836394748755,0.9792337290445964,0.7555467391102578,0.6649869740403443,0.7102668565753011,,,,0.0,0.0
70,val,7.214271941184998,20.784242479424726,0.9788158320530476,0.5801551940382806,0.7890883662239794,0.9892945227121144,0.7343015372504301,0.8821122322643195,0.6846217801311301,0.7826864641051025,0.9790837097167969,0.7616211065546578,0.6704987532298428,0.7160599298922503,,,,0.0,0.0
