epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.9843208420276642,0.9746363257106981,1.0272906382878622,0.9413510497411092,0.0,0.0,0.0,0.0,0.6601853247870926,0.07711646333831101,0.01817201914587716,0.7953152156332388,0.14319057588128156,0.03569538114221854,0.047644241242094085,0.25182460242376026,0.6616328430175781,0.16516320487806269,0.031394929052887884,0.09827906696547528,400,400,400
5,val,0.29286410853266714,0.2909748958129632,0.15793299184491236,0.4277952241897583,0.0,0.0,0.0,0.0,0.9724537948012405,0.541310448983455,0.6824855123700022,0.9860345498224787,0.7024028797578932,0.8112824833880816,0.6118979806767286,0.732083252051566,0.973123524983724,0.6990497962601815,0.3930041788114696,0.5460269875358256,400,400,400
10,val,0.20152119221786657,0.22873587298550105,0.12260252576321364,0.28043985744317373,0.0,0.0,0.0,0.0,0.973742605556799,0.554961112625344,0.7262415592800839,0.9866966470859589,0.7137942011789173,0.8414135963485406,0.640601335952714,0.7516484258207422,0.9742481994628907,0.714252918618828,0.5329633127299763,0.6236081156744022,400,400,400
15,val,0.17521610801418622,0.23647571943308177,0.10920983241250118,0.2412223833799362,0.0,0.0,0.0,0.0,0.973802870899172,0.5492860031278471,0.80550268509804,0.9867275858764488,0.7090827671829422,0.8922752558014619,0.6773943441129435,0.7761971863750198,0.9743650817871093,0.7083377626662731,0.611021115499588,0.6596794390829306,400,400,400
20,val,0.16070479852457842,0.23477684941731,0.09927139309545358,0.2221382051706314,0.0,0.0,0.0,0.0,0.9757079233273924,0.5664931978192886,0.7573552918740217,0.9877046215253842,0.7232628888627188,0.8619262085202902,0.6619242448466551,0.7665188043402343,0.9761044565836589,0.7488030963517515,0.63203086749861,0.6904169819251808,400,400,400
25,val,0.16132229360441366,0.21811154818064288,0.10063873293499152,0.22200585464636485,0.0,0.0,0.0,0.0,0.9747644461387208,0.5737998426783185,0.7598676761610333,0.9872209802487468,0.7291903673110254,0.863550920849464,0.6668337594196759,0.7694773216593576,0.975568364461263,0.7333420361396625,0.6096385184408434,0.6714902772902529,400,400,400
30,val,0.1382888514921069,0.2914459807308097,0.08592804559816916,0.19064965724945068,0.0,0.0,0.0,0.0,0.9753965342564755,0.5743885013028495,0.6705090250743996,0.9875450496561771,0.7296655188062251,0.8027601347972808,0.6224487631886245,0.7400980202112416,0.9758201853434245,0.7555694271592401,0.5800308851990491,0.6678001561791447,400,400,400
35,val,0.13011322516947985,0.23219558439756693,0.08119660612816612,0.1790298436085383,0.0,0.0,0.0,0.0,0.9761798839591506,0.5758246791331362,0.7783288259168162,0.9879463826981543,0.7308232784498568,0.8753486020961835,0.6770767525249761,0.7767777963363676,0.9766710917154948,0.7582005044610555,0.665906987233778,0.7120537458474168,400,400,400
40,val,0.12007336941858132,0.24498216180424942,0.07415223585131268,0.16599450369675955,0.0,0.0,0.0,0.0,0.9769268857425571,0.5743080975603511,0.7918759616254865,0.9883287973754394,0.7296006397354314,0.8838513140241496,0.6830920295929188,0.7810369816427981,0.9773570760091146,0.75003862681442,0.6635623764941552,0.7068005016542875,400,400,400
45,val,0.10989640052119891,0.2580506644750896,0.06779480751603842,0.15199799378712972,0.0,0.0,0.0,0.0,0.9759780849695795,0.5716228668047963,0.7940345525914444,0.9878430255815361,0.7274300710156247,0.8851942694687552,0.6828287096981204,0.7805451681219401,0.976493174235026,0.7377267658922914,0.6714573878721724,0.7045920768822318,400,400,400
50,val,0.1052244928230842,0.26327147060318995,0.06430609544118246,0.14614289045333861,0.0,0.0,0.0,0.0,0.9765262440038615,0.5731567134150942,0.788423473076604,0.9881237316897005,0.7286708419161297,0.8816966282826609,0.680790093245849,0.7793688101651867,0.9769925944010417,0.7508308007868171,0.6966669689866419,0.7237488848867295,400,400,400
55,val,0.09761458204438289,0.27490399091651563,0.059576671564330656,0.1356524924437205,0.0,0.0,0.0,0.0,0.9765710661302412,0.5697921433889576,0.7974160515594338,0.9881466777131225,0.7259459741706409,0.8872915659872933,0.6836040974741957,0.7812597536928775,0.97702880859375,0.746460846263546,0.7228056892540343,0.7346332677587901,400,400,400
60,val,0.09512736108154059,0.2871976879082228,0.05575655313829581,0.12964332103729248,0.0,0.0,0.04854847272237142,0.0,0.9767172008070589,0.5706241341073295,0.7883205931047245,0.9882214819684702,0.7266208658275151,0.8816322936102993,0.6794723636060269,0.778553976006371,0.9771665954589843,0.7498340954757512,0.7202655118137485,0.7350498036447499,400,400,400
65,val,0.09071785870939493,0.27637884844290583,0.053038774045805134,0.12413949410120646,0.0,0.0,0.042574493288993834,0.0,0.9768270395291594,0.5714490732275663,0.7960579522153257,0.988277699562244,0.7272893318189168,0.8864501852330965,0.683753512721446,0.7814446883240173,0.9772901407877604,0.75218581691232,0.6791702205700451,0.7156780187411825,400,400,400
70,val,0.08531503256410361,0.2786192733206247,0.04954172139987349,0.1171443615357081,0.0,0.0,0.03943982501824697,0.0,0.9770368377970705,0.57477461495726,0.8004893058220673,0.9883850610348179,0.729976987815313,0.8891908474364195,0.6876319603896637,0.7841002528587993,0.9774935658772786,0.7552112501330991,0.7220561809589336,0.7386337155460163,400,400,400
75,val,0.08165521210680406,0.2826789660673392,0.047396137736116846,0.11220845699310303,0.0,0.0,0.03705829381942749,0.0,0.9774667098960763,0.5781171542926856,0.7967926142973762,0.988604971203228,0.732666966733276,0.8869054869851596,0.687454884295031,0.7841254928287128,0.9779041035970052,0.759601649395679,0.6894871290727553,0.7245443892342172,400,400,400
80,val,0.07963772412389516,0.29608083261471047,0.04568188288869957,0.11004721124966939,0.0,0.0,0.035463533997535705,0.0,0.9769726366415212,0.5714647183647157,0.7886295305508866,0.9883522093671475,0.7273020026302448,0.8818254614279948,0.6800471244578011,0.7790222951857079,0.9774141184488933,0.7538276956632323,0.6822235500249424,0.7180256228440873,400,400,400
85,val,0.07709956161677838,0.29462045215462385,0.044482923075556756,0.10634740114212037,0.0,0.0,0.03368798792362213,0.0,0.9771648238847372,0.5729476175125301,0.7928382240120855,0.9884505450231528,0.7285018409177456,0.8844503797312401,0.6828929207623078,0.7809835551364509,0.9775875345865885,0.7555831122264728,0.6878386204675033,0.721710866346988,400,400,400
90,val,0.07664052934696276,0.2988928715257268,0.04413880574516952,0.10580994645754496,0.0,0.0,0.03332306603590647,0.0,0.9769548955910807,0.5720122858423174,0.7895570307594492,0.9883431309129442,0.7277453121631567,0.8824049942955753,0.6807846583008833,0.7795080707309491,0.9773924255371094,0.7539446627979772,0.6825794915945478,0.7182620771962624,400,400,400
91,val,0.07693001262843609,0.3018980210548953,0.04408440792001784,0.10646706124146779,0.0,0.0,0.03308556377887726,0.0,0.9770349753904446,0.5719651187503891,0.7914496283434767,0.9883841080732423,0.7277071379358143,0.8835856904057267,0.6817073735469329,0.7801499074947701,0.9774670664469401,0.7541242773917617,0.6854596570284415,0.7197919672101016,400,400,400
92,val,0.07500039837012688,0.30054774919622823,0.04379769285209477,0.10293781777222952,0.0,0.0,0.03265285809834798,0.0,0.976988049541344,0.5714560208505196,0.7891290680985161,0.9883600963273426,0.7272949586476245,0.8821376637038281,0.6802925444745178,0.77919104616346,0.9774182891845703,0.7534585755941084,0.6798413670420436,0.7166499713180761,400,400,400
93,val,0.07552740407486756,0.30107559969550685,0.043937487459431095,0.1038026769955953,0.0,0.0,0.03314643939336141,0.0,0.9770558919495315,0.5715673092495237,0.7901313776391508,0.9883948106151699,0.7273850835220876,0.882763564181738,0.6808493434443372,0.7795848596127354,0.9774826049804688,0.7541038704951093,0.684015791316952,0.7190598309060307,400,400,400
94,val,0.07600183126206199,0.29671625675339447,0.043759913646305604,0.10494270265102386,0.0,0.0,0.033010459542274474,0.0,0.9767841535973035,0.5707748794534335,0.7894689069329203,0.9882557504518392,0.7267430704672845,0.8823499574362978,0.680121893193177,0.7790093133278857,0.9772256215413412,0.752733068107936,0.6814505860374053,0.7170918270726707,400,400,400
95,val,0.0760076909388105,0.29784662629428665,0.04438367925584316,0.10433817048867544,0.0,0.0,0.032935319542884825,0.0,0.9768765958951665,0.571295191437676,0.789656690749191,0.9883030614288988,0.7271646913333483,0.8824672294199875,0.6804759410934336,0.7792761593606778,0.9773149617513021,0.7530369501059643,0.6796818856008073,0.7163594178533859,400,400,400
96,val,0.07719750645260016,0.29835811845566096,0.043879778068512676,0.10724255363146463,0.0,0.0,0.03272681037584941,0.0,0.9770013829752653,0.5718954037973529,0.7894750354492276,0.9883669191014307,0.7276507106207953,0.8823537851155758,0.6806852196232902,0.7794572740739486,0.9774323018391927,0.7539887587006662,0.6800385646117605,0.7170136616562133,400,400,400
97,val,0.07568924876550834,0.29637304536606135,0.04354985738794009,0.10452770153681437,0.0,0.0,0.03300938844680786,0.0,0.9768811661599348,0.57085490378904,0.7902247479232029,0.9883054003266301,0.7268079342173333,0.882821834342223,0.6805398258561215,0.7793202726240592,0.9773187764485677,0.752783686910104,0.6830433927370566,0.7179135398235803,400,400,400
98,val,0.07560005960986019,0.29967528032629115,0.04383396150544286,0.104085600177447,0.0,0.0,0.03280556996663411,0.0,0.9769763678212341,0.5716362797757117,0.7890377824195847,0.9883541186665071,0.7274409316350091,0.8820806247618206,0.6803370310976482,0.7792168100055101,0.9774085489908854,0.753631282685522,0.6784107137612955,0.7160209982234087,400,400,400
99,val,0.07601106012860934,0.29839210251444265,0.04358621144977708,0.1051298447450002,0.0,0.0,0.03306063810984294,0.0,0.9768894520706736,0.5710167082719773,0.7890859098926842,0.988309640731241,0.7269390647029603,0.8821106974566877,0.6800513090823308,0.7789973567451117,0.9773250834147136,0.7530347219476333,0.6794028376605454,0.7162187798040893,400,400,400
100,val,0.074891816675663,0.30408983991334315,0.04337733106066783,0.10317585309346516,0.0,0.0,0.0323044886191686,0.0,0.9769235229330566,0.5710782672333476,0.7883930089899106,0.988327076490695,0.7269889465647189,0.8816775787277285,0.6797356381116291,0.7787982663854383,0.9773557790120443,0.7532864784930289,0.6766540066059303,0.7149702425494796,400,400,400
