epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
90,val,7118.112731933594,0.23174467545590902,0.026806984452220302,0.17470537145932516,0.0,0.0,0.0,0.0,,,,0.977985336789941,0.5881187918286248,0.8264756369748699,0.9888701585393012,0.740648363151022,0.9049949752888395,0.7072972144017473,0.7975265885311452,0.9784825134277344,0.7622008022780293,0.6872650968686465,0.7247329495733379,400,400,400
95,val,7109.776886393229,0.23239103390982277,0.026826602222087482,0.18053436577320098,0.0,0.0,0.0,0.0,,,,0.9777500289449843,0.5867340499407228,0.8261190792640292,0.9887498567921221,0.7395493277057261,0.9047811707843012,0.706426564602376,0.7968677193832455,0.9782443237304688,0.7597734424361361,0.6817402661618884,0.7207568542990123,400,400,400
100,val,7122.286076660156,0.23202200959387578,0.026869967013287047,0.17547770003477733,0.0,0.0,0.0,0.0,,,,0.9778941437060105,0.5874455856165619,0.8270449551718594,0.9888235392352346,0.740114295493661,0.9053361854405647,0.7072452703942107,0.7974615614981438,0.9783850351969401,0.7619615510096232,0.6839697975939529,0.722965674301788,400,400,400
105,val,7100.6362817382815,0.23239499605015704,0.026891405014321208,0.1769809405008952,0.0,0.0,0.0,0.0,,,,0.9778384789650112,0.5871783418523149,0.8278258620346605,0.9887950804523806,0.7399021601656295,0.90580386154856,0.7075021019434877,0.7976142276173288,0.9783343505859375,0.7610545490572396,0.6868638977734683,0.723959223415354,400,400,400
107,val,7055.119920247395,0.23170127249077746,0.026701768959561983,0.17642476360003154,0.0,0.0,0.0,0.0,,,,0.9778228202498856,0.5871364672776234,0.827244734475413,0.988787074593814,0.7398689140886848,0.9054558690113377,0.7071906008765182,0.7974013406676406,0.9783182271321614,0.7610802801594396,0.6851407456109143,0.7231105128851769,400,400,400
108,val,7116.508782552083,0.2320151795682154,0.026951726920281846,0.1785863228638967,0.0,0.0,0.0,0.0,,,,0.9778762678138704,0.5876008511463301,0.8280170545163843,0.9888144003008931,0.7402375108605564,0.9059183036292213,0.7078089528313571,0.7978313911588616,0.9783722178141276,0.7617247684391815,0.68644766654644,0.7240862174928107,400,400,400
109,val,7047.38997639974,0.23231506994680354,0.026793162282556297,0.17321052591005962,0.0,0.0,0.0,0.0,,,,0.9778620204277001,0.5872911105684399,0.8281662511912176,0.9888071162984804,0.739991683514336,0.9060075916526644,0.7077286808798287,0.7977731273957858,0.9783592987060546,0.7614206776597143,0.6872976255079558,0.724359151583835,400,400,400
110,val,7118.471174316406,0.2322897266008352,0.02666386128248026,0.17889898737271626,0.0,0.0,0.0,0.0,,,,0.9778082831596325,0.5869729891569413,0.827449617790132,0.9887796420768775,0.739739104783079,0.9055785831083394,0.7072113034735367,0.7974102967022353,0.9783055877685547,0.7604078840301878,0.6864147679257318,0.7234113259779598,400,400,400
111,val,7142.735485839844,0.23223698099977091,0.026834890126871565,0.17712959110736848,0.0,0.0,0.0,0.0,,,,0.9777767566441827,0.5868793689489595,0.8278180719250529,0.9887635228388846,0.7396647538970379,0.9057991981151573,0.7073487204370061,0.7974913991727317,0.9782763671875,0.759740713179907,0.6888623809438532,0.7243015470618801,400,400,400
112,val,7060.058892415364,0.23184655685173838,0.02693049667092661,0.17486547907193503,0.0,0.0,0.0,0.0,,,,0.9777755362136985,0.5866487128930536,0.8282234363675463,0.9887628988328734,0.7394815350442302,0.9060418107462004,0.7074360746302999,0.7975492284914328,0.9782802836100261,0.7606745173338822,0.6889939028437984,0.7248342100888403,400,400,400
113,val,7055.736545410156,0.23158472933267293,0.02668536048848182,0.17127294659614564,0.0,0.0,0.0,0.0,,,,0.9778050062690791,0.5875632209194347,0.8279889754610614,0.9887779666546657,0.7402076505389794,0.9059014978492672,0.7077760981902481,0.7977857342165251,0.9783198038736979,0.7616933102417323,0.684270877328555,0.7229820937851437,400,400,400
114,val,7113.367780761719,0.23142840438767484,0.026804082004042964,0.17937211851278942,0.0,0.0,0.0,0.0,,,,0.9778617414192156,0.5876951009747086,0.8241638652053559,0.9888069736538312,0.7403122937318559,0.9036072700766664,0.7059294830900322,0.7965735691997601,0.9783584340413412,0.7623423339783119,0.6938769760147295,0.7281096549965207,400,400,400
115,val,7160.256060384115,0.2313220538198948,0.0268647984151418,0.17755818367004395,0.0,0.0,0.0,0.0,,,,0.977620216581726,0.586763955183429,0.8235824805728187,0.9886834776310303,0.7395730830243109,0.9032577241190837,0.7051732178781238,0.7959888841126578,0.9781270599365235,0.7604397421796576,0.6866546624983958,0.7235472023390267,400,400,400
116,val,7075.198610839844,0.23140273694145053,0.026766791958361864,0.17922480682531994,0.0,0.0,0.0,0.0,,,,0.9777411117269671,0.5874049928555365,0.8285140954000083,0.988745297278269,0.7400820779817138,0.9062157054017803,0.7079595441277724,0.797886733327504,0.9782514953613282,0.7613768385356812,0.6900084001984236,0.7256926193670523,400,400,400
