epoch,n_groups_evaluated,mean_mIoU_fg,worst_group_mIoU_fg,eligible_worst_group_mIoU_fg,p10_mIoU_fg,cvar20_mIoU_fg,std_mIoU_fg,avg_worst_gap,worst_crack_recall,worst_spalling_recall
1,38,0.618655243262961,0.24207181542114325,0.3172958534192787,0.3704014585672266,0.3683461416640669,0.1653965902575895,0.3765834278418177,0.0,0.0
5,38,0.6158323625188699,0.2249192314231636,0.31386568123390163,0.41150923630959513,0.37535717536968716,0.16087402461218178,0.39091313109570625,0.0,0.0
10,38,0.6191200071395937,0.22360822689380036,0.31543816873875963,0.4171894060791457,0.3853364053543853,0.16078327017585006,0.39551178024579337,0.0,0.0
15,38,0.6127651544753446,0.2323082900005283,0.3091237515761354,0.4229464267080378,0.38384579834992805,0.15881070206645215,0.3804568644748163,0.0,0.0
20,38,0.6198556070752284,0.22974158799315247,0.31668670035038743,0.4213422125201106,0.39609306313946974,0.15607841812066617,0.3901140190820759,0.0,0.0
25,38,0.6163732181907713,0.22805619502974206,0.31529241745911457,0.40378373575871407,0.38266008772208315,0.15928237130421288,0.38831702316102923,0.0,0.0
30,38,0.6186517599686677,0.23184977081170138,0.3176021983450334,0.4050850803428774,0.3815151253337135,0.15971292469491985,0.38680198915696634,0.0,0.0
35,38,0.6171200918024559,0.22940263997417704,0.3179407367968057,0.3876011221950486,0.3752510819943492,0.16216845582456602,0.3877174518282788,0.0,0.0
40,38,0.6193668913414596,0.22863247863241126,0.31981258366797244,0.38950592509196696,0.3806253615980205,0.1604828692167021,0.39073441270904835,0.0,0.0
41,38,0.6182203850019664,0.2268439612106298,0.32025857628512205,0.40011239184384817,0.37914797386738086,0.1607659416431691,0.39137642379133664,0.0,0.0
42,38,0.6183421393851652,0.22722326785077426,0.3196675957045332,0.3957920146089644,0.37920391807036946,0.16119898111106667,0.39111887153439095,0.0,0.0
43,38,0.6189982187016994,0.22785092281623093,0.3203226538485012,0.38939926496390037,0.37894712154615157,0.1611932821381442,0.3911472958854684,0.0,0.0
44,38,0.6176245396275715,0.22718312345527036,0.31954343612512237,0.39370365752132386,0.3772412573587254,0.16175440929607354,0.3904414161723011,0.0,0.0
45,38,0.618269750974833,0.22718868312146653,0.3196266863795643,0.3900262527525355,0.3780852116686439,0.16137553649635267,0.3910810678533665,0.0,0.0
46,38,0.6175168180137683,0.22736070381225007,0.3197453146536321,0.39078539983178795,0.3760815677755081,0.16217313001368863,0.3901561142015183,0.0,0.0
47,38,0.6181522970597342,0.22758265980889714,0.31975392465482383,0.3881827261524985,0.37678091848353706,0.16181596570172616,0.39056963725083704,0.0,0.0
48,38,0.6182641941422372,0.22800482892638008,0.3202014370689236,0.39037225029054606,0.37792174872057016,0.16156894415313403,0.39025936521585713,0.0,0.0
49,38,0.6190037067752211,0.22793208968392048,0.3201294618468598,0.38839555408712284,0.37773170512115123,0.1621314360370958,0.3910716170913006,0.0,0.0
50,38,0.6175097868385621,0.22732604169714474,0.3191201630996815,0.3830633232289154,0.37557265673752305,0.16226211197852367,0.3901837451414173,0.0,0.0
