epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2,loss_aux_ce,loss_cldice
1,val,44.91185989253149,38.95571733775892,0.7885150340072028,0.11961383920556022,0.0,0.8817538785128571,0.2136698118887743,0.0,0.05980691960278011,0.30270962440425436,0.7873073808298815,0.31851944035913987,0.0,0.15925972017956994,,,,0.0,0.0
5,val,19.42197535125124,20.240143236361053,0.9751730049460408,0.5229827992291771,0.8359980020477545,0.987430470651538,0.6867875323265278,0.9106741958491632,0.6794904006384659,0.7780512687409908,0.9759336637970585,0.716243567276834,0.6346124421977789,0.6754280047373065,,,,0.0,0.0
10,val,16.52035228120924,19.645967157263506,0.9736128935385715,0.5373600235279145,0.6590187520021967,0.9866300496172186,0.6990685529792656,0.7944681170202036,0.5981893877650556,0.7233305563562276,0.9739052177275587,0.736762898674335,0.603683714256994,0.6702233064656644,,,,0.0,0.0
15,val,15.841999275739802,20.081060133482282,0.9721651848346281,0.5394242810687463,0.6308121528980715,0.9858861644149215,0.7008130087362928,0.7736171842686757,0.5851182169834088,0.7141338729338154,0.972721227863491,0.7330514094956371,0.5938541675203284,0.6634527885079827,,,,0.0,0.0
20,val,14.295486622870563,19.436700369182386,0.9741370175947773,0.5343168631124294,0.7448957661723619,0.9868990945538657,0.6964882886427307,0.8537997290306688,0.6396063146423956,0.7511165489598562,0.9749869788253067,0.7207591505863982,0.6747877382487146,0.6977734444175564,,,,0.0,0.0
25,val,13.165175262083643,19.469766704659712,0.9739480353415386,0.5508726498857627,0.7247787921728125,0.9868021020857554,0.7104034621106252,0.84043101116725,0.6378257210292876,0.7498664924667046,0.9746010799535969,0.7399631481076009,0.6504611700291689,0.6952121590683848,,,,0.0,0.0
30,val,13.117762052339573,19.12349053433067,0.9734363019343886,0.5523090176500115,0.6785371916007485,0.9865393688969979,0.7115967392705527,0.8084863355975531,0.61542310462538,0.7347608370617161,0.9742083197472079,0.7459826937523948,0.6574668482597793,0.701724771006087,,,,0.0,0.0
35,val,11.666292369563715,19.191822277872188,0.9751694673093981,0.5477442467523602,0.7465912628556192,0.9874286570840798,0.7077968442159547,0.8549123984909521,0.6471677548039897,0.7565016589724592,0.9758912924952154,0.7433714631404257,0.6617935546386486,0.7025825088895372,,,,0.0,0.0
40,val,10.806604512110106,19.58972874440645,0.9747135905304493,0.5519754085099499,0.7075551369771275,0.9871948977356467,0.7113197870060337,0.8287347467206326,0.6297652727435387,0.7447480453391755,0.9754221103335387,0.7479182596878271,0.6511674082977622,0.6995428339927947,,,,0.0,0.0
45,val,10.105205100240106,20.422882782785518,0.9748215975571339,0.5389313318116973,0.7443727575499172,0.9872502901153137,0.7003968541952339,0.8534560681805604,0.6416520446808072,0.7527085623062494,0.9754083876641805,0.7425623765383641,0.6634751673878337,0.7030187719630989,,,,0.0,0.0
