epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.6249211889505386,0.9628484641250811,0.3044021681944529,0.9454402047395706,0.0,0.0,0.0,0.7232847924402173,0.05568830415354599,0.017900490494399443,0.8394257241904012,0.10550141350329165,0.03517139575343968,0.036794397323972716,0.26562452902938755,0.7212627410888672,0.09145333889507078,0.035528400579853736,0.06349086973746226,400,400,400
5,val,0.22166971661150456,0.27688423622595637,0.05494099701444308,0.38839843650658923,0.0,0.0,0.0,0.9715689261988306,0.5225725170976078,0.702100188896352,0.9855794674873557,0.6864336656933198,0.824981036341458,0.6123363529969799,0.7320805440642634,0.9719864400227864,0.6661089681477635,0.4977002031567674,0.5819045856522654,400,400,400
10,val,0.16847544088959693,0.27131684771493864,0.055652600281561417,0.2812982811530431,0.0,0.0,0.0,0.9733858296871101,0.5434693615947932,0.7000143661700337,0.9865134481496152,0.7042178809863154,0.8235393536668724,0.6217418638824135,0.7389565191506456,0.9738571675618489,0.6937196909216111,0.5220181069151403,0.6078688989183757,400,400,400
15,val,0.15087942515810332,0.2515983128626096,0.050049084241812425,0.2517097661892573,0.0,0.0,0.0,0.9727882009900728,0.5495460378761529,0.7122936534120057,0.9862064265204594,0.7092994005255561,0.8319760480250011,0.6309198456440792,0.7448759640927438,0.9733445231119792,0.7038508736259843,0.6453854407438694,0.6746181571849268,400,400,400
20,val,0.14184022174527247,0.2704549406312014,0.047209649893144766,0.23647079428037007,0.0,0.0,0.0,0.9751107198389953,0.5597668922836363,0.7689761829289662,0.9873985392763026,0.7177571149289984,0.8694025282530835,0.6643715376063013,0.7679512650171992,0.9754889424641927,0.7268829696002402,0.5295287702468887,0.6282058699235644,400,400,400
25,val,0.1436728481700023,0.24078881152366338,0.05074803746615847,0.23659765899181365,0.0,0.0,0.0,0.976184425528775,0.5704275884903548,0.7524946036537213,0.9879487085498851,0.7264614970738057,0.8587696670618772,0.6614610960720381,0.7663688725576171,0.976593729654948,0.7378404890017598,0.6239589778441811,0.6808997334229705,400,400,400
30,val,0.1338373008618752,0.2659523049859624,0.04409811595144371,0.22357648611068726,0.0,0.0,0.0,0.9765507767293939,0.571976879596297,0.7798365232060731,0.9881362909839293,0.7277166566765125,0.8763012928865288,0.675906701401185,0.7761213931772547,0.9770866902669271,0.747373244442058,0.5897738366019495,0.6685735405220037,400,400,400
35,val,0.12359423000365495,0.27350768799844544,0.0422975365134577,0.20489092350006102,0.0,0.0,0.0,0.975085111269464,0.5746843112395315,0.7101857162075094,0.9873854100826459,0.7299041555664727,0.830536367456524,0.6424350137235204,0.7533183795721682,0.9756217447916666,0.7379861129818123,0.5323673109741802,0.6351767119779963,400,400,400
40,val,0.1312551202252507,0.2459208522188036,0.04840375198982656,0.21410648783047995,0.0,0.0,0.0,0.9773993025243016,0.5765320116031573,0.7763887888176382,0.9885704938568316,0.7313927118002361,0.8741203431422255,0.6764604002103978,0.7767733676483658,0.9777145385742188,0.7490898708125487,0.636451269921081,0.6927705703668149,400,400,400
45,val,0.1116425304611524,0.25898924469947815,0.038525196658447385,0.18475986460844676,0.0,0.0,0.0,0.977034602411693,0.5795610436185045,0.7687557340775748,0.9883839172261869,0.7338254459489949,0.8692616162496731,0.6741583888480396,0.7751171267025908,0.9773819478352864,0.7544197649524368,0.6244942223737124,0.6894569936630746,400,400,400
50,val,0.10884161435067653,0.27075106454522985,0.03695016466702024,0.18073306381702423,0.0,0.0,0.0,0.9764651154109932,0.5705621907801544,0.7585658680993367,0.9880924361348453,0.7265706434671468,0.8627096452397282,0.6645640294397455,0.7685310580968281,0.9768055979410807,0.7546917665445633,0.6701210551798729,0.7124064108622181,400,400,400
55,val,0.1042092133189241,0.2871299103686684,0.03547695323824882,0.17294147312641145,0.0,0.0,0.0,0.9772545633303238,0.5696798714100473,0.7725721498472854,0.9884964550890374,0.7258548469482538,0.8716961393236894,0.6711260106286663,0.7731688615292188,0.9775272369384765,0.751270361112228,0.6717991965073608,0.7115347788097943,400,400,400
60,val,0.1076640869056185,0.26648855974015434,0.03412943597572545,0.17153027216593425,0.0,0.0,0.09668465395768483,0.9764338504220994,0.5718727816638164,0.7762440728628602,0.9880764288808008,0.7276323991799044,0.8740286143353592,0.6740584272633383,0.7748502349829254,0.9768098195393881,0.7519919711092631,0.6711875680768653,0.7115897695930642,400,400,400
65,val,0.10455011309434971,0.27989492839888525,0.03334046843151251,0.16712002317110697,0.0,0.0,0.08639733990033467,0.9777444861088087,0.5808678170366653,0.7792865004546107,0.988747022657624,0.7348720883261465,0.8759539290108723,0.680077158745638,0.7792996012000283,0.9780291748046875,0.7591801544879797,0.670607262304596,0.7148937083962879,400,400,400
70,val,0.10099082540720701,0.2856159598419541,0.032310769092291594,0.16146265586217246,0.0,0.0,0.0820822536945343,0.9773201462951315,0.5746452912317573,0.7922219546801402,0.9885300042345883,0.7298726823515209,0.8840667893966614,0.6834336229559488,0.7813957974023431,0.9776344299316406,0.7598496156199172,0.6741167044920685,0.7169831600559928,400,400,400
75,val,0.09969939356048901,0.29104639864281606,0.03195339323952794,0.15955471893151602,0.0,0.0,0.07890675127506257,0.9771283860097665,0.5767780948701474,0.77206098147938,0.9884319024742785,0.731590699727024,0.8713706690103135,0.6744195381747637,0.775322487453098,0.9774335225423177,0.7639035733971246,0.6457751943932866,0.7048393838952056,400,400,400
80,val,0.09905113818744818,0.29172634294158534,0.031272238592306774,0.15905641674995422,0.0,0.0,0.07773620287577311,0.9772850991746482,0.5779057621643318,0.7654677094625987,0.9885120760608406,0.7324971820517954,0.8671557178415956,0.6716867358134653,0.7735528569338596,0.9776087443033854,0.7618825701634171,0.6513022189867134,0.7065923945750652,400,400,400
85,val,0.09546595392127832,0.2876672093805514,0.030538293331240616,0.15299428264300027,0.0,0.0,0.07399331669012706,0.9773536322428565,0.5793025220093777,0.7669934269845451,0.9885471332047691,0.7336181813631497,0.8681338767552229,0.6731479744969614,0.7745498604122597,0.9776845296223958,0.7593267972634209,0.6525422921987298,0.7059345447310754,400,400,400
90,val,0.09517101168632508,0.2961613867235811,0.03043243652675301,0.1525094070037206,0.0,0.0,0.07400179465611775,0.9773611487401788,0.5790253341405235,0.7690945838272732,0.9885509780172201,0.7333958760778106,0.8694781962006892,0.6740599589838984,0.7751603555693252,0.977686284383138,0.7590818599794519,0.6469950371532686,0.7030384485663602,400,400,400
91,val,0.09575281449904044,0.29779878219491557,0.03023794149979949,0.15386757771174112,0.0,0.0,0.07400109390417735,0.9772202760042974,0.5782591319466512,0.766918354249306,0.9884789144274114,0.7327809739753152,0.8680857860861821,0.6725887430979787,0.7741325874000848,0.9775524139404297,0.7582839488164772,0.6373336261915762,0.6978087875040266,400,400,400
92,val,0.09307139200468859,0.29171197979073776,0.029986234772950413,0.14889644106229147,0.0,0.0,0.07260108490784963,0.977034524654011,0.5768591783140202,0.7680894408000546,0.9883838774388586,0.7316559224150869,0.8688355046705065,0.6724743095570374,0.7739943812560286,0.9773690795898438,0.7552250736860585,0.6383005807128529,0.6967628271994557,400,400,400
93,val,0.09398310874899228,0.2941301135640395,0.030424205533539254,0.15027149399121603,0.0,0.0,0.07270518044630686,0.9772915869971024,0.579002254169298,0.76839560807718,0.9885153949208955,0.7333773623697668,0.869031346343,0.673698931123239,0.7748964830811934,0.9776209259033203,0.7586596929452867,0.6375886630780847,0.6981241780116857,400,400,400
94,val,0.09558535198370616,0.29304274014736476,0.030486650795986257,0.15323319991429646,0.0,0.0,0.0745085326830546,0.9771575473320644,0.5777674499883947,0.769317293502777,0.9884468222075885,0.7323860686727242,0.8696204986271667,0.6735423717455858,0.7747474302744121,0.977491963704427,0.7566514555959463,0.6399886714235915,0.6983200635097688,400,400,400
95,val,0.09495547740409771,0.29467647993250895,0.030448329575980704,0.15202850023905437,0.0,0.0,0.07434124926726024,0.9772226720427304,0.5784101785847533,0.7698095613395083,0.9884801402091259,0.732902241042784,0.8699349106882052,0.6741098699621308,0.7751474706556639,0.9775571695963542,0.7577400327401228,0.6434326009987114,0.7005863168694171,400,400,400
96,val,0.09604027756800254,0.2936989884627493,0.030156615941474837,0.15472821712493898,0.0,0.0,0.0719572256008784,0.9773105687050059,0.5791067988333172,0.769924008988729,0.9885251049308587,0.7334612190399984,0.8700079834824501,0.674515403911023,0.7754471255090173,0.9776394144694011,0.7583469951626931,0.6429030117755437,0.7006250034691184,400,400,400
97,val,0.09541002603868644,0.29467559096060303,0.03046358804218471,0.15286941051483155,0.0,0.0,0.0748705275853475,0.9774864396848139,0.579596727215674,0.76940431373082,0.9886150620993515,0.733854049238654,0.8696760912812713,0.674500520473247,0.7754958268771026,0.9778113047281901,0.7599709179653178,0.6425186976730212,0.7012448078191695,400,400,400
98,val,0.09398815954724947,0.2962160679070573,0.03015274405479431,0.1505272740125656,0.0,0.0,0.07296300888061523,0.9773055815424905,0.5788265450364702,0.7699486127789648,0.9885225537876621,0.7332363987116768,0.8700236913320124,0.6743875789077175,0.7753602464526418,0.9776372528076172,0.7583221203593161,0.6442100345414739,0.7012660774503949,400,400,400
99,val,0.09490257414678732,0.29363694277248886,0.030177139826118946,0.15220552543799082,0.0,0.0,0.07422482709089916,0.9773167624886356,0.5784971194187223,0.7700195016420891,0.9885282732935439,0.7329720305498593,0.8700689466163777,0.6742583105304056,0.7752777945164824,0.9776447550455729,0.7579366645712682,0.6411414765200674,0.6995390705456678,400,400,400
100,val,0.09363562438637019,0.2965898776524945,0.030067875881989798,0.14982531627019247,0.0,0.0,0.07378056844075521,0.9773877117901544,0.5789519138230419,0.7699366623919491,0.9885645652215698,0.7333369797453209,0.8700160618758324,0.6744442881074955,0.7754254293350485,0.9777082824707031,0.7582810086825584,0.642324155837165,0.7003025822598616,400,400,400
