epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
1,val,0.5936730577598645,0.5710974620875492,0.9219642501957533,0.28440158866558424,0.13715840468736037,0.9593979181473856,0.442854619887321,0.24123007686878842,0.2107799966764723,0.44784141451623266,0.9207398949599848,0.3730848887939351,0.1195877678976257,0.2463363283457804
2,val,0.49112069851989987,0.4229529849303666,0.9457985958248276,0.39481112450563066,0.29311263866989645,0.972144391361226,0.5661141032920358,0.4533443257833964,0.34396188158776353,0.5445741196667849,0.9462021101457962,0.4902428835157058,0.1534121180670754,0.32182750079139055
3,val,0.44288312709784206,0.6773054984308058,0.8068077278388298,0.30774169715372574,0.05377868144258632,0.8930753565061111,0.4706459965657125,0.10206826611630665,0.18076018929815602,0.3894427021450473,0.8033177238815845,0.39320221748737044,0.07369119658638691,0.23344670703687867
4,val,0.4223405475480647,0.39510336614424185,0.9461699808773708,0.4022881491245025,0.35176822069372937,0.9723405356923851,0.5737596076464956,0.5204564145075129,0.37702818490911594,0.5667421168985342,0.9473657995704713,0.47333132992198346,0.15784842394696552,0.3155898769344745
5,val,0.4023127241791049,0.4312899699134211,0.9143279053304921,0.4258645461711175,0.1537730389168784,0.9552469070575883,0.5973422192377167,0.2665568248348655,0.28981879254399795,0.4979884968061627,0.914946475972328,0.5271682092994061,0.13052607072464104,0.3288471400120236
6,val,0.3954588043727452,0.3663262069545766,0.9603452071076526,0.44784310654068243,0.42924034049998927,0.9797715255718379,0.6186348569365497,0.6006552268876327,0.4385417235203358,0.6124762180494415,0.9609436717459826,0.5711356462180435,0.16615809226334305,0.36864686924069323
7,val,0.3952989470732363,0.40451907022024997,0.9410847475357474,0.4427099243189604,0.2240212371490236,0.9696482842704076,0.613719940310169,0.3660414220766485,0.33336558073399203,0.5359386363345772,0.9413783685947822,0.5605109081849645,0.1523849703736416,0.35644793927930307
8,val,0.3925707931571369,0.396355267333728,0.9640847458229098,0.4499603192196852,0.3745089488687396,0.9817139997378054,0.6206519078561228,0.5449349008269044,0.4122346340442124,0.5961846713037783,0.9644970157282139,0.6017665621067779,0.22097745816866493,0.4113720101377214
9,val,0.3777698930117148,0.36480516627911597,0.9627612342735224,0.4478595817852184,0.48021673580948376,0.9810273582562065,0.618650575538555,0.6488465157730681,0.4640381587973511,0.6302791839560749,0.9633661078889841,0.5886815247515889,0.21634032380566928,0.40251092427862906
10,val,0.3578407316456867,0.3674685966263535,0.9588341087198997,0.46339958904693285,0.33866267402373945,0.9789844933285329,0.6333192827377118,0.5059716396002742,0.40103113153533615,0.586965457263524,0.958701012257315,0.6160043643611396,0.20156717296886342,0.4087857686650015
