epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1.0313730943202972,0.9609110904367346,1.0160107590754828,0.9453076171875,0.0,0.0,0.0,0.0,,,0.7302563682302999,0.05320606007621644,0.017669201326043153,0.8441019280596014,0.10103637282976918,0.03472484242034609,0.0354376307011298,0.2670438765441865,0.727857411702474,0.08675068945607904,0.03530375326027231,0.061027221358175676,400,400,400
5,val,0.34659568513433137,0.29305922240018845,0.16634244173765184,0.449724782705307,0.0,0.0,0.0,0.0,,,0.9700411748654723,0.5109913804500781,0.7166470647535199,0.9847927923960403,0.676365712023942,0.8349381529469108,0.613819222601799,0.7325598733563567,0.9705198415120443,0.6443288982371931,0.40092144236958616,0.5226251703033896,400,400,400
10,val,0.2550842435161273,0.2426698850957971,0.1350504782795906,0.3006035272280375,0.0,0.0,0.0,0.0,,,0.973805141835977,0.5435445652264523,0.7241345429535256,0.9867287516843445,0.7042810132880217,0.8399977204946527,0.633839554089989,0.747161416671985,0.9742223866780599,0.7003831296734988,0.48323282366718245,0.5918079766703406,400,400,400
15,val,0.22815331210692724,0.22963348364359454,0.12027086917310953,0.2624831722180049,0.0,0.0,0.0,0.0,,,0.9715823912516547,0.5408623375937467,0.7538166421843947,0.9855863955397246,0.7020255144121081,0.8596299339998384,0.6473394898890708,0.755420457009932,0.9721792602539062,0.6799724957813639,0.5812823480691588,0.6306274219252613,400,400,400
20,val,0.210137646595637,0.2328078270350632,0.10847659282386303,0.2392087205251058,0.0,0.0,0.0,0.0,,,0.9730028076043936,0.549249268417228,0.7508141978549069,0.9863166984397826,0.7090521578601253,0.8576743309196402,0.6500317331360674,0.7576887579588428,0.9735610453287761,0.7171120324685503,0.54780425917053,0.6324581458195402,400,400,400
25,val,0.19985391497611998,0.24327998216214933,0.10353619692226251,0.2242762722571691,0.0,0.0,0.0,0.0,,,0.9744277905094073,0.5552949649681919,0.751970163899238,0.9870482933771941,0.7140702920999278,0.8584280479133621,0.6536325644337149,0.7605643064589458,0.9749692789713542,0.7190553000916937,0.6105643242049702,0.6648098121483319,400,400,400
30,val,0.20223580844700337,0.24666037351677292,0.10753955856586496,0.22543475687503814,0.0,0.0,0.0,0.0,,,0.9767312528914242,0.5629843159812518,0.7737668809726829,0.9882286744469994,0.7203966287119222,0.8724561150317243,0.6683755984769673,0.7711608166151196,0.9770757548014323,0.7446202991600588,0.6325919114960389,0.6886061053280488,400,400,400
35,val,0.1840626576791207,0.24538116470763557,0.09427835470065475,0.20310566922028858,0.0,0.0,0.0,0.0,,,0.9738252190586435,0.5552709249332695,0.7837067719609097,0.9867390584087077,0.714050415308952,0.8787394702766591,0.6694888484470896,0.7709343053176075,0.9744049072265625,0.7176723916753273,0.638261871388433,0.6779671315318802,400,400,400
40,val,0.20854645624756812,0.28195753811221375,0.09196127590412895,0.19354873518149057,0.0,0.0,0.0,0.0,,,0.9759901724067137,0.5711496111851229,0.7628912332427328,0.9878492171021059,0.7270467524150077,0.8655000590585955,0.6670204222139278,0.7700103389448564,0.976418940226237,0.7442636461677166,0.5939039915244626,0.6690838188460896,400,400,400
45,val,0.20146296692391236,0.28115464746952057,0.08895029077306389,0.18594825645287832,0.0,0.0,0.0,0.0,,,0.9736140585653472,0.5609862026162281,0.7817022719565955,0.986630647810731,0.7187586945688691,0.8774779987210329,0.6713442372864118,0.7721008443793903,0.9743974558512369,0.7276461085293363,0.6403556254112568,0.6840008669702966,400,400,400
