epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
50,val,0.19539084946115812,0.27953027031923594,0.0858858259394765,0.1790635750691096,0.0,0.0,0.0,0.0,,,0.9760681122290067,0.568696082314138,0.7819155239708092,0.9878891382220636,0.7250557819653612,0.8776123373440213,0.6753058031424737,0.775559906171318,0.9765343729654948,0.7485221919847497,0.6622461747596621,0.7053841833722059,400,400,400
55,val,0.18963644097248714,0.29280163641822965,0.08279025316238403,0.17202662607034047,0.0,0.0,0.0,0.0,,,0.9767969242235847,0.5730000849941493,0.7850437464073348,0.9882622865848859,0.7285442517904003,0.8795792797653857,0.679021915700742,0.778280251875023,0.9772610982259115,0.7546193896107118,0.6708198097607456,0.7127195996857287,400,400,400
60,val,0.18917918081084886,0.2983832947517696,0.07910331891228756,0.16862165649731953,0.0,0.0,0.07560464978218079,0.0,,,0.9762532597783036,0.5716982242241422,0.7838605951318008,0.9879839589869366,0.7274910862819827,0.8788361571200973,0.6777794096779715,0.7772706930447488,0.9768015797932943,0.7410710570146836,0.6554173435211844,0.698244200267934,400,400,400
65,val,0.18588137124975523,0.3099979707284978,0.07751167884096503,0.16541706124941508,0.0,0.0,0.06980755746364593,0.0,,,0.9761582537886199,0.5677961135463304,0.7800605464757473,0.9879353051985227,0.7243239202347357,0.8764427120416214,0.6739283300110388,0.7746716379368991,0.9767745208740234,0.7479098731296122,0.6439820805850858,0.695945976857349,400,400,400
70,val,0.18162920576830704,0.29621195597083944,0.07537653659159939,0.15989551583925882,0.0,0.0,0.06669834017753601,0.0,,,0.9757316320866134,0.5671574639573991,0.7903677113174199,0.987716769059492,0.7238040554332151,0.8829110425989951,0.6787625876374095,0.7777522691204775,0.9763880157470703,0.7445917647539775,0.6829118588141851,0.7137518117840813,400,400,400
75,val,0.17845849568645158,0.3072911795032652,0.07349226217716932,0.15697592477003733,0.0,0.0,0.06396276374657948,0.0,,,0.9762660142211381,0.5711628722892177,0.7863219255868485,0.9879904903448863,0.727057496536971,0.8803809820881232,0.6787423989380331,0.7779169373657348,0.9768610636393229,0.7527242524334502,0.674085035877592,0.7134046441555211,400,400,400
80,val,0.17699940043191115,0.31414051471572174,0.07230207406605284,0.15595115025838216,0.0,0.0,0.0632309365272522,0.0,,,0.9763770225779705,0.5697850850615344,0.7858775633761275,0.9880473324916438,0.7259402455581354,0.8801023983866604,0.677831324218831,0.7773465570052108,0.9769328308105468,0.7509276128981742,0.6644009382922118,0.707664275595193,400,400,400
85,val,0.17301973789930344,0.31320122001986755,0.07054261516158779,0.15078361411889393,0.0,0.0,0.06024526516596476,0.0,,,0.9767111806690213,0.572937016299721,0.7859115995361812,0.9882184005641651,0.7284932713294969,0.880123741556178,0.6794243079179512,0.7785199321683077,0.9772605387369792,0.7514273288450404,0.6714876501223659,0.7114574894837031,400,400,400
90,val,0.17191028356552124,0.316743576605069,0.06965511037347218,0.15007219930489857,0.0,0.0,0.05960545559724172,0.0,,,0.9764425433218658,0.5708931477349262,0.785198590932519,0.9880808795794587,0.7268389305257307,0.879676462798866,0.6780458693337226,0.7775114273297703,0.9769631703694661,0.747671062449102,0.6660490785976815,0.7068600705233917,400,400,400
91,val,0.1729723968108495,0.3201310987535276,0.0699060300954928,0.15176251312096914,0.0,0.0,0.060105766455332436,0.0,,,0.9766385350786049,0.5710091261313884,0.784285485368759,0.9881812154793056,0.7269329205457883,0.8791031388193694,0.6776473057500737,0.7773110488595841,0.9771606953938802,0.7493505708629535,0.6640869255829431,0.7067187482229483,400,400,400
92,val,0.16985083269576232,0.3122897877504951,0.06915821498880784,0.14654996891816457,0.0,0.0,0.058989522655804955,0.0,,,0.9764326191637082,0.5717638372631292,0.7874884038437976,0.9880757984826906,0.7275442069703377,0.8811116224870497,0.6796261205534634,0.7785616200902116,0.976994654337565,0.7475582661176505,0.6648619387283138,0.7062101024229821,400,400,400
93,val,0.17052334586779277,0.3147851236556706,0.06964839395135641,0.14763560553391775,0.0,0.0,0.05919672568639119,0.0,,,0.9766532477502944,0.5723040898673226,0.7863170175819405,0.98818874667255,0.7279814299988445,0.8803779058728821,0.6793105537246316,0.7784247850665192,0.9771897125244141,0.748644691172563,0.6640907157232718,0.7063677034479174,400,400,400
94,val,0.17219653971493243,0.3119663411849423,0.07018973046292862,0.15007248481114704,0.0,0.0,0.060981611212094625,0.0,,,0.9762997535261948,0.5719213988746442,0.786293806544102,0.9880077673280492,0.7276717516334965,0.8803633575434323,0.6791076027093731,0.7781716529816469,0.976864267985026,0.7472366081219112,0.6646529725938936,0.7059447903579024,400,400,400
95,val,0.17210924990475177,0.3123206409968828,0.07025534940262636,0.14966800014177958,0.0,0.0,0.06180806895097097,0.0,,,0.9764729591990928,0.5727995891560492,0.7861500418591671,0.9880964519694513,0.7283821703735421,0.8802732395772077,0.6794748155076082,0.7784741967381029,0.9770222473144531,0.749769464583957,0.6683501396402236,0.7090598021120903,400,400,400
96,val,0.17324116925398508,0.314334846640888,0.06974707463756204,0.15262545963128407,0.0,0.0,0.06009030520915985,0.0,,,0.9765881340579303,0.57295136965564,0.7859257078212897,0.9881554151121988,0.7285048739695925,0.8801325882475444,0.6794385387384648,0.7784884038449533,0.9771290588378906,0.7499402665478052,0.6671718919002745,0.7085560792240398,400,400,400
97,val,0.17235321149230004,0.3148984607113035,0.07005318277825912,0.15052867790063224,0.0,0.0,0.06127395868301391,0.0,,,0.9766445128729604,0.5728585864463219,0.7854329034452898,0.9881842754349929,0.7284298682447029,0.8798234892273648,0.6791457449458058,0.778312000921524,0.9771795908610026,0.7504536770869018,0.667944820368306,0.709199248727604,400,400,400
98,val,0.17101333990693093,0.3148067860226882,0.06964327044785022,0.14838544964790346,0.0,0.0,0.06055313388506572,0.0,,,0.9765453259116023,0.5727758100673482,0.7866937009478168,0.9881335005168271,0.7283629445481123,0.88061395249839,0.6797347555075826,0.7786716123089225,0.9770926411946614,0.7495872152719082,0.6697376331217156,0.7096624241968119,400,400,400
99,val,0.17177659255762895,0.3125918664430317,0.06938566038385034,0.15009254932403565,0.0,0.0,0.0595819886525472,0.0,,,0.9765413647143427,0.5729010636005304,0.7866511402231926,0.9881314726296925,0.7284642077729945,0.8805872870345829,0.6797761019118616,0.7786978561793552,0.9770882161458333,0.7495840025170988,0.6696564742001803,0.7096202383586395,400,400,400
100,val,0.170700587729613,0.31711727263111816,0.06964584476624926,0.1478534225622813,0.0,0.0,0.059714319904645284,0.0,,,0.9767361383073401,0.5737522341149486,0.7877087248191458,0.9882311749950702,0.7291519232538114,0.8812495166390538,0.6807304794670472,0.7793990324138115,0.977276357014974,0.7506890509065134,0.6689288547189185,0.7098089528127159,400,400,400
