epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2,loss_aux_ce,loss_cldice
1,val,46.37253866195679,38.641550465634,0.9580207439114647,0.19256150959132612,0.011767062995365991,0.9785603619271802,0.3229376565361634,0.023260419173024387,0.10216428629334605,0.3874497721660522,0.9575973510742187,0.3952143617195774,0.07097235337320323,0.23309335754639032,,,,0.0,0.0
5,val,19.321991821924847,19.504424873151276,0.9758171173405135,0.5372465245566662,0.7808400463458698,0.9877605662754673,0.6989725017743726,0.8769345095850537,0.659043285451268,0.7646345627476832,0.9763005065917969,0.7165589215658995,0.6740104002063532,0.6952846608861263,,,,0.0,0.0
10,val,16.42471977710724,18.884147769526432,0.9763915299407658,0.5606176311114657,0.7605836510037722,0.9880547605565069,0.7184561034494991,0.8640130794922878,0.660600641057619,0.7658642706853346,0.9768026224772135,0.7484849011961519,0.6909834303495139,0.7197341657728329,,,,0.0,0.0
15,val,16.13806951522827,18.77369383761757,0.9760255205359755,0.5515561475026821,0.8182480981926585,0.9878673229597147,0.7109715602499376,0.9000400979448276,0.6849021228476704,0.7819432554104386,0.9767742919921875,0.7218219838325263,0.6924948330336024,0.7071584084330643,,,,0.0,0.0
20,val,14.255251749356587,19.161852083708112,0.9766603179973463,0.5605631186766602,0.8049340741519498,0.9881923657847798,0.7184113375074651,0.8919262877012823,0.682748596414305,0.7807191702753188,0.9772790018717448,0.7323545869925576,0.6881162996957872,0.7102354433441724,,,,0.0,0.0
25,val,13.918722545305888,19.969503528193425,0.9746926812913226,0.5615811177506872,0.7016303261783481,0.9871841735433343,0.7192468087211412,0.824656584199605,0.6316057219645177,0.7459680417401193,0.9750567626953125,0.7301125388212168,0.6841421078301186,0.7071273233256677,,,,0.0,0.0
30,val,12.155689304669698,19.311989382693643,0.9770788547078878,0.5653710692719999,0.8288299209225833,0.9884065598913612,0.722347666147854,0.9064045939323504,0.6971004950972917,0.7904266149674903,0.9777987670898437,0.7366386950760067,0.7057958664607258,0.7212172807683662,,,,0.0,0.0
35,val,11.97144852956136,19.961531689292507,0.9761193927495041,0.5470913366445431,0.8177303671164355,0.9879154026127596,0.7072515031092076,0.899726804271467,0.6824108518804893,0.7803136988368276,0.9768490600585937,0.7201588075603198,0.7204834895712589,0.7203211485657893,,,,0.0,0.0
40,val,10.92162160952886,19.293407088831852,0.9772897640030356,0.5591371439898335,0.7584891700895476,0.9885144623664124,0.7172392064998221,0.862660041347793,0.6588131570396906,0.7649720260274723,0.9776638539632162,0.7570786063760404,0.7081825022346946,0.7326305543053675,,,,0.0,0.0
45,val,9.946116135120391,20.32561593306692,0.9771606635466793,0.5547072951031559,0.8115094067456671,0.9884484165225345,0.7135842185217902,0.8959483221271527,0.6831083509244115,0.7811257884651673,0.9778268432617188,0.7305361651150506,0.694241763574019,0.7123889643445348,,,,0.0,0.0
50,val,9.379886391957601,20.467396811435098,0.9777473885090626,0.5572051483276529,0.8179872530349215,0.9887485066999823,0.7156477088790242,0.8998822754883297,0.6875962006812872,0.7843132632905457,0.9781389872233073,0.7456218986975663,0.6968013673841491,0.7212116330408578,,,,0.0,0.0
55,val,8.669815875689189,21.19310276131881,0.9781989508878256,0.5726437111917243,0.8088209636011665,0.9889793445182093,0.7282561296198286,0.8943073746678517,0.6907323373964454,0.7865545418935721,0.9788231913248698,0.754554122939991,0.7080521896558832,0.7313031562979371,,,,0.0,0.0
60,val,7.957257306575775,21.885450990576494,0.9783382213836616,0.5639600914458419,0.8224519415894079,0.9890505180650111,0.7211949902436129,0.9025773715296175,0.6932060165176249,0.7882500848063038,0.9789695739746094,0.7487497400188352,0.7286159072646209,0.738682823641728,,,,0.0,0.0
