epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2,loss_aux_ce,loss_cldice
1,val,45.42405602773031,38.19603648938631,0.9191049802710201,0.21714594592269926,0.0,0.9578475275919738,0.3568116817052442,0.0,0.10857297296134963,0.37875030873123977,0.9175246429443359,0.41378434712870477,0.0,0.20689217356435238,,,,1.064590300122897,0.0
5,val,20.065641485850016,19.969343787745427,0.9741512171482174,0.5510117827045582,0.7164168088045814,0.9869063815237402,0.7105191447917152,0.8347818608273107,0.6337142957545698,0.7471932695524522,0.9746613311767578,0.7198592893778659,0.6085319710007067,0.6641956301892863,,,,0.09105014479408662,0.0
10,val,16.956522251764934,17.799286892539577,0.9787701131426473,0.5656593339145637,0.8442365585071436,0.9892711706547681,0.7225829037792855,0.9155404219841827,0.7049479462108537,0.7962220018547849,0.9790904744466146,0.7534397371544193,0.6800174151098357,0.7167285761321275,,,,0.07576688896864653,0.0
15,val,15.280757211049398,18.54519578030235,0.9776064017097322,0.5594448633108035,0.808548731074774,0.9886764129247825,0.7174923288061181,0.8941409398399504,0.6839967971927887,0.7818666653651033,0.9782668813069662,0.7376107046629758,0.7148409021676264,0.7262258034153011,,,,0.06470418723300099,0.0
20,val,15.151815174420674,18.10862227490074,0.977372346469718,0.5643247495803844,0.7098399462196413,0.988556705786505,0.7214930911650657,0.8302998743116945,0.6370823479000128,0.7505123474232479,0.9776785532633464,0.753205898575887,0.6648592326105547,0.7090325655932208,,,,0.06397231416155895,0.2340311328570048
25,val,13.915487704277039,18.264066118943063,0.978264669195141,0.566880496272668,0.7708718885140446,0.9890129308058148,0.7235784702422126,0.8706128246926892,0.6688761923933564,0.7720056846606179,0.9786028798421224,0.7538842045323829,0.699460120414523,0.7266721624734529,,,,0.058861976768821475,0.20536032636960347
30,val,13.148713296254476,18.901678060230456,0.9788819536891836,0.5753433686318676,0.7869554495171512,0.9893282940544046,0.7304355102361384,0.880777917244431,0.6811494090745094,0.7803935906127343,0.9790982055664063,0.7644471239347782,0.7071571740063296,0.735802148970554,,,,0.0556034619299074,0.19312484602133434
35,val,12.159363253911335,18.60583962892231,0.977332563235679,0.5728664429855268,0.7845737670048704,0.9885363559040223,0.7284362197951707,0.8792842094968766,0.6787201049951985,0.7782575910753587,0.9777212778727213,0.7579443330512852,0.7058828394537532,0.7319135862525192,,,,0.05143028076117238,0.17739988227685294
40,val,11.208764686584473,19.19979082910638,0.9773077451736767,0.5627483864126598,0.815663790069349,0.9885236605775142,0.7202034458080193,0.8984744802761031,0.6892060882410044,0.7852399738852284,0.9779125467936198,0.7492499443438593,0.6739349162703822,0.7115924303071207,,,,0.047170845850681264,0.16068383077780404
45,val,10.514629747072856,19.0868878364563,0.9786260922614612,0.5651620390518467,0.8299608202863851,0.9891976013951632,0.7221770333686524,0.9070804260787375,0.6975614296691159,0.791249650533231,0.9790560658772787,0.7578348303294877,0.7053443759696058,0.7315896031495468,,,,0.04462183613019685,0.14903877894083659
50,val,9.751623730659485,19.33794453269557,0.9784628913464781,0.5816771413140028,0.8349859326882065,0.9891142215769008,0.7355194383485438,0.9100733883719467,0.7083315370011047,0.7983753217828958,0.9790304819742839,0.7579637686543548,0.7319187638244249,0.7449412662393898,,,,0.04165816021151841,0.1384860247373581
55,val,9.039253244400024,20.05425541024459,0.9786320149943508,0.5787975374060444,0.8327986527264658,0.9892006270778398,0.7332131241565091,0.908772659219928,0.7057980950662551,0.796742735042287,0.9791611989339193,0.7528981899253274,0.7051498525529704,0.7290240212391489,,,,0.03878375815538069,0.12755261977513632
60,val,8.31147430419922,19.687246423018607,0.978357511526762,0.569832658192485,0.807698832228087,0.9890603754138776,0.7259788554132819,0.8936210145498122,0.688765745210286,0.7852963339824447,0.9785364278157552,0.7509015835248996,0.7028700407449928,0.7268858121349462,,,,0.03633742172271013,0.11964275419712067
