epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
1,val,0.5181629076600075,0.4314401918335965,0.9413041262703082,0.3767173887482613,0.3209756502457505,0.9697647200480328,0.5472690209728232,0.4859675500998631,0.34884651949700585,0.5463323884214399,0.941537602742513,0.47322713584112847,0.1930032710614736,0.333115203451301
2,val,0.41359246532122296,0.3962867330563696,0.9530235417306151,0.42118227258767343,0.38338729952724954,0.9759468038835015,0.5927209770507329,0.5542732677367589,0.4022847860574615,0.585864371281846,0.9536549886067708,0.5327137083226466,0.21760852959645197,0.3751611189595493
3,val,0.3909819320837657,0.3699472366194976,0.9580367077877352,0.44877188633144494,0.39277473769160703,0.9785686897261101,0.6195204235606991,0.5640176075315584,0.420773312011526,0.5998611106035957,0.9576449330647786,0.5866426444336358,0.22673977860525493,0.4066912115194454
4,val,0.3745151438315709,0.39039365398256404,0.952004578781693,0.4435696824601055,0.33377952916675174,0.9754122394281153,0.6145455780204279,0.5005018023859953,0.3886746058134286,0.5764512634695168,0.951901372273763,0.5812062154862407,0.22659483580816966,0.4039005256472052
5,val,0.35853885650634765,0.36936024929347794,0.9581148651173242,0.4629692752449152,0.4191098969648734,0.978609459726375,0.6329172909901469,0.5906658784654328,0.4410395861048943,0.6133980124423709,0.9588990275065105,0.5953117589784512,0.2755100407217716,0.4354108998501114
6,val,0.3566150049865246,0.3396540519438292,0.958894674082516,0.47014549298472463,0.45970934981002093,0.9790160612199651,0.6395904286047552,0.6298642258746256,0.46492742139737275,0.6295831722924204,0.959892349243164,0.5964231971631161,0.22275275905083083,0.40958797810697345
7,val,0.3422042134900888,0.3364829558290933,0.9562444616668918,0.4793732952913724,0.404996432205733,0.9776328883273491,0.6480761776857094,0.5765088407661231,0.4421848637485527,0.6135380630546657,0.9571601867675781,0.6139941022750046,0.2793947100815666,0.4466944061782856
8,val,0.3551293903589249,0.34507453637687785,0.9610609474415,0.4677425536338612,0.46422087532854506,0.9801438845593748,0.6373632112468449,0.6340858584253993,0.4659817144812031,0.6310081254679687,0.961526845296224,0.5878834615720858,0.24288049732997044,0.4153819794510281
9,val,0.3424877208471298,0.3153239516051192,0.9644099800042248,0.49457215517603037,0.528021447076031,0.981882590519267,0.6618243936409745,0.6911178479679518,0.5112968011260307,0.6623345274187621,0.9651961517333985,0.6298645407408547,0.2415043323196254,0.4356844365302401
10,val,0.32902446856101353,0.3365986719727516,0.957188787934752,0.4715755994678489,0.4478364976266448,0.9781261714101567,0.6409125017272371,0.6186285514431463,0.45970604854724684,0.6255336283430819,0.9581692759195963,0.6001516026316801,0.2716107836475885,0.4358811931396343
11,val,0.335120174686114,0.3284151816838666,0.9584152698782595,0.48459734671143934,0.4362010557818605,0.9787661326168451,0.6528333730150878,0.607437313913399,0.4603992012466499,0.6264045574571865,0.9592547098795573,0.6163875913387519,0.32786212335766574,0.4721248573482088
12,val,0.3143502047161261,0.3437392707718046,0.962381352903181,0.48399080854644266,0.4313782883904724,0.9808301036691134,0.6522827577625064,0.6027453285958948,0.4576845484684575,0.6259168166133654,0.9631488037109375,0.6161096509092298,0.3414080993879327,0.47875887514858123
13,val,0.3059120943148931,0.3180601243910037,0.9584388045021116,0.47176570501411214,0.49921702873658524,0.9787784048179875,0.6410880528155649,0.6659703287352381,0.48549136687534866,0.6431405127509363,0.9595236206054687,0.5929363979620117,0.2996736776942662,0.44630503782813896
14,val,0.2990200556317965,0.30418919183705984,0.9646597604678085,0.5013949599372651,0.529520769731309,0.9820120306613414,0.6679054789929701,0.692400888187128,0.5154578648342871,0.6651918300454609,0.965511474609375,0.6460591995359234,0.32786984592970686,0.4869645227328151
15,val,0.3058668491741022,0.3222375919944362,0.9591655223959801,0.4733942441126897,0.46022594341666306,0.9791572089559432,0.6425900549079152,0.6303489476975297,0.4668100937646764,0.6309285699751109,0.9599641418457031,0.6002873687990709,0.3355358309151031,0.46791159985708697
